"","B.Code","D.Item","P.Product","Herd.Stage","GE_daily","CH4_kg_year","Total_Amount","D.Unit.Amount","CH4_flag","Ym","source","final_intake_kg_day","ED.Mean.T","T.Name","T.Control"
"1","AG0018","BSM","Cattle",NA,NA,NA,1.04285714285714,"kg","missing_GE_value",0.04,"GE_all",NA,NA,"BSM","no"
"2","AG0018","LLM","Cattle",NA,19.4595074015238,8.93423924724047,1.04285714285714,"kg","GE_diet_based",0.07,"GE_diet_from_ingredients",NA,1.04285714285714,"LLM","no"
"3","AG0018","MFM","Cattle",NA,NA,NA,0.0438571428571429,"kg","missing_GE_value",0.063,"GE_all",NA,NA,"MFM","no"
"4","AG0018","NP","Cattle",NA,0.459507401523809,0.189871926290027,0.0428571428571429,"kg","GE_diet_based",0.063,"GE_diet_from_ingredients",NA,0.0428571428571429,"NP","yes"
"5","AG0018","UTS","Cattle",NA,NA,NA,1.04285714285714,"kg","missing_GE_value",0.07,"GE_all",NA,NA,"UTS","no"
"6","AG0042","60% F SOPM","Goat",NA,NA,NA,0.3125,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"60% F SOPM","no"
"7","AG0042","60% UF SOPM","Goat",NA,NA,NA,0.2977,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"60% UF SOPM","no"
"8","AG0042","Con","Goat",NA,5.606680288,2.0225356115292,0.3124,"kg","amount_from_total_amounts",0.055,"GE_all",NA,NA,"Con","yes"
"9","AG0051","NG","Cattle",NA,143.634864864865,56.5247716179792,8.3,"kg","GE_diet_based",0.06,"GE_diet_from_ingredients",NA,8.3,"NG","yes"
"10","AG0051","NGD","Cattle",NA,NA,NA,8.2,"kg","missing_GE_value",0.06,"GE_all",NA,NA,"NGD","no"
"11","AG0051","PG","Cattle",NA,165.62,65.1766037735849,9.1,"kg","GE_diet_based",0.06,"GE_diet_from_ingredients",NA,9.1,"PG","yes"
"12","AG0051","PGD","Cattle",NA,NA,NA,9.2,"kg","missing_GE_value",0.06,"GE_all",NA,NA,"PGD","no"
"13","AN0007","T1","Sheep",NA,6.2102888156,2.72906761878703,0.3301,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T1","yes"
"14","AN0007","T2","Sheep",NA,6.03591829612036,2.6524417238387,0.32982,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.32982,"T2","no"
"15","AN0007","T3","Sheep",NA,6.31094313998358,2.77329945172144,0.34747,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.34747,"T3","no"
"16","AN0007","T4","Sheep",NA,6.53273948664,2.87076629192778,0.3469,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"T4","no"
"17","AN0007","T5","Sheep",NA,6.2190251804855,2.73290675271829,0.34784,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.34784,"T5","no"
"18","AN0021","U0","Sheep",NA,13.75036,6.04249872057502,0.853,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"U0","yes"
"19","AN0021","U10","Sheep",NA,6.35810263819852,2.79402336059559,0.85858,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"U10","no"
"20","AN0021","U15","Sheep",NA,8.51500689170963,3.74185972213403,0.94988,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"U15","no"
"21","AN0021","U20","Sheep",NA,8.95949881159112,3.93718856132005,0.93804,"kg","amount_from_total_amounts",0.067,"GE_all",NA,NA,"U20","no"
"22","AN0027","Control PDS","Goat",NA,NA,NA,NA,NA,"missing_amount",0.055,"GE_all",NA,NA,"Control","yes"
"23","AN0027","R1","Goat",NA,NA,NA,NA,NA,"missing_amount",0.055,"GE_all",NA,NA,"R1","no"
"24","AN0027","R2","Goat",NA,NA,NA,NA,NA,"missing_amount",0.055,"GE_all",NA,NA,"R2","no"
"25","AN0029","T2 1.5%","Sheep",NA,NA,NA,NA,NA,"missing_amount",0.067,"GE_all",NA,NA,"T2 1.5%","no"
"26","AN0029","T3 2.5%","Sheep",NA,NA,NA,NA,NA,"missing_amount",0.067,"GE_all",NA,NA,"T3 2.5%","no"
"27","BO1000","Diet 1","Sheep","Yearling",13.0510185006305,5.73517803113961,0.66827,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,0.66827,NA,NA
"28","BO1002","Control","Goat","Lactating Female",21.0903061578405,7.60804844777446,1.181,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.181,"Control","yes"
"29","BO1002","MA20","Goat","Lactating Female",NA,NA,1.167,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"MA20","no"
"30","BO1002","MA40","Goat","Lactating Female",NA,NA,1.172,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"MA40","no"
"31","BO1004","Treatment 2","Sheep","Adult",NA,NA,1.4131,"kg","missing_GE_value",0.067,"GE_all",NA,NA,"T2","no"
"32","BO1004","Treatment 3","Sheep","Adult",NA,NA,0.8649,"kg","missing_GE_value",0.067,"GE_all",NA,NA,"T3","no"
"33","BO1005","OSCM","Goat",NA,NA,NA,0.865,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"T2","yes"
"34","BO1005","TMRL","Goat",NA,NA,NA,0.885,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"T1","no"
"35","BO1006","Ration 1","Sheep","Lamb Male",14.2371513266666,4.20207027026953,1.1562,"kg","amount_from_total_amounts",0.045,"GE_all",NA,NA,"T1","yes"
"36","BO1006","Ration 2","Sheep","Lamb Male",16.5663403806223,4.88952633875509,1.3308,"kg","amount_from_total_amounts",0.045,"GE_all",NA,NA,"T2","no"
"37","BO1006","Ration 3","Sheep","Lamb Male",12.2541379756074,3.61678735398655,1.10065,"kg","amount_from_total_amounts",0.045,"GE_all",NA,NA,"T3","no"
"38","BO1007","HAK10","Goat","Yearling Male",NA,NA,0.264,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"HAK10","yes"
"39","BO1007","HAK15","Goat","Yearling Male",NA,NA,0.337,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"HAK15","no"
"40","BO1007","HAK20","Goat","Yearling Male",NA,NA,0.37,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"HAK20","no"
"41","BO1007","HAK30","Goat","Yearling Male",NA,NA,0.288,"kg","missing_GE_value",0.055,"GE_all",NA,NA,"HAK30","no"
"42","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"43","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"44","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
"45","BO1008","Control","Sheep","Gestating Female",28.7931153816784,12.6529314763512,1.58,"kg","GE_diet_based",0.067,"GE_diet_from_ingredients",NA,1.58,"T1","yes"
