"","B.Code","D.Item","is_group","is_entire_diet","DC.Variable","DC.Value","DC.Unit","Source","n_ing","n_tar","kind","Feedipedia","feedipedia_node","ilri_code","GE_source","n_source_rows"
"1","AG0015","Floating feed",FALSE,FALSE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"2","AG0015","Sinking feed",FALSE,FALSE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"3","AG0018","BSM",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"4","AG0018","LLM",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"5","AG0018","MFM",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"6","AG0018","NP",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"7","AG0018","UTS",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"8","AG0042","60% F SOPM",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"9","AG0042","60% UF SOPM",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"10","AG0042","Con",FALSE,TRUE,"GE",17.94712,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,4
"11","AG0042","Gamba grass",FALSE,FALSE,"GE",17.15465104,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,"inferred_from_same_ingredient-Step2",NA
"12","AG0050","CPL",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"13","AG0050","CSH",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"14","AG0050","CST",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"15","AG0050","CTB",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"16","AG0050","Cassava Peel",FALSE,FALSE,"GE",19.5,"MJ/kg","livestock",NA,NA,NA,12805,12805,"FEED0502","feedipedia",29
"17","AG0050","Cassava Shaft Ground",FALSE,FALSE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,"No Match",NA,NA
"18","AG0050","Cassava Starch",FALSE,FALSE,"GE",17.4,"MJ/kg","livestock",NA,NA,NA,14602,14602,"No Match","feedipedia",5
"19","AG0050","Cassava Tuber Boiled Dried Ground",FALSE,FALSE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,"No Match",NA,NA
"20","AG0050","Control",FALSE,TRUE,"GE",18.38292,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,5
"21","AG0051","NG",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
"22","AG0051","NGD",FALSE,TRUE,"GE",NA,"MJ/kg","livestock",NA,NA,NA,NA,NA,NA,NA,NA
