"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","D.Type","M2_Category","M3_Category","M4_Category","M5_Category","M6_Category","M7_Category","Diet_Category_method","Diet_Category_prop_top","used_patch","used_nearest","M7_Category_full"
"1","diet","AG0018","BSM",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-starch","nearest_window_diet",NA,FALSE,TRUE,"High-starch"
"2","diet","AG0018","LLM",217,332,81,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"3","diet","AG0018","MFM",133,431,75,NA,NA,NA,NA,"Good forage","Good forage","Good forage","Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"4","diet","AG0018","NP",32,762,86,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"5","diet","AG0018","UTS",157,718,97,NA,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"6","diet","AG0042","60% F SOPM",142.1,NA,57.7,34.6,NA,NA,NA,NA,NA,NA,NA,"High-starch","by_category_dominance",0.219904,TRUE,FALSE,"High-starch"
"7","diet","AG0042","60% UF SOPM",139.3,NA,54.6,34.2,NA,NA,NA,NA,NA,NA,NA,"High-starch","by_category_dominance",0.230836412495801,TRUE,FALSE,"High-starch"
"8","diet","AG0042","Con",136.2,NA,52.2,33.8,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.366581306017926,TRUE,FALSE,"Good forage"
"9","diet","AG0050","CPL",291.5,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"10","diet","AG0050","CSH",293.4,NA,103.3,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"11","diet","AG0050","CST",290.6,NA,94.6,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"12","diet","AG0050","CTB",294.2,NA,106.4,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"13","diet","AG0050","Control",291.5,NA,88.3,NA,NA,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"14","diet","AG0051","NG",124.5,386.3,NA,NA,NA,NA,NA,NA,"Good forage",NA,"Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"15","diet","AG0051","NGD",153.1,431,NA,NA,NA,NA,NA,"Good forage","Good forage","Good forage","Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"16","diet","AG0051","PG",157.9,329.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"17","diet","AG0051","PGD",169.1,426.6,NA,NA,NA,NA,NA,"Good forage","Good forage","Good forage","Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"18","diet","AG0087","Control",166.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"19","diet","AG0087","Direct boiling DF 1.5%",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"20","diet","AG0087","Direct boiling DF 3.5%",172.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"21","diet","AG0087","Direct boiling DF 5%",168.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"22","diet","AG0087","Indirect boiling DF 1.5%",174.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"23","diet","AG0087","Indirect boiling DF 3.5%",171.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"24","diet","AG0087","Indirect boiling DF 5%",168.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"25","diet","AG0087","Roasted DF 1.5%",175.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"26","diet","AG0087","Roasted DF 3.5%",172.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"27","diet","AG0087","Roasted DF 5%",169.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"28","diet","AG0087","Sun dried DF 1.5%",174.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"29","diet","AG0087","Sun dried DF 3.5%",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"30","diet","AG0087","Sun dried DF 5%",168.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"31","diet","AN0007","T1",128,NA,42,30,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.545,TRUE,FALSE,"Good forage"
"32","diet","AN0007","T2",132,NA,52,32,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.545,TRUE,FALSE,"Good forage"
"33","diet","AN0007","T3",136,NA,60,36,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.545,TRUE,FALSE,"Good forage"
"34","diet","AN0007","T4",142,NA,66,39,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.545,TRUE,FALSE,"Good forage"
"35","diet","AN0007","T5",150,NA,75,45,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.125658348666053,TRUE,FALSE,"Good forage"
"36","diet","AN0021","U0",88.7,661.9,100.4,48.3,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"37","diet","AN0021","U10",117.6,625.1,119.9,37.6,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"38","diet","AN0021","U15",130.7,618.2,120.8,41.1,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"39","diet","AN0021","U20",138.4,627.9,104,38.5,NA,NA,NA,NA,NA,"Poor forage","Poor forage","Poor forage","M7_numeric",NA,FALSE,FALSE,"Poor forage"
"40","diet","AN0027","Control PDS",185.1,342.3,85.6,32.5,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"41","diet","AN0027","R1",179.9,376.6,87.5,34.9,NA,NA,NA,NA,"Good forage",NA,"Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"42","diet","AN0027","R2",179.9,376.6,87.5,34.9,NA,NA,NA,NA,"Good forage",NA,"Good forage","Good forage","M7_numeric",NA,FALSE,FALSE,"Good forage"
"43","diet","AN0029","T1 Control",259.6,NA,38.4,NA,20.3852848,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"44","diet","AN0029","T2 1.5%",259.6,NA,38.4,NA,20.3852848,NA,NA,NA,NA,NA,NA,"Protein","by_category_dominance",0.4,TRUE,FALSE,"Protein"
"45","diet","AN0029","T3 2.5%",259.6,NA,38.4,NA,20.3852848,NA,NA,NA,NA,NA,NA,"Protein","by_category_dominance",0.4,TRUE,FALSE,"Protein"
"46","diet","AN0058","PJP 0",230.4,NA,78,86.1,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"47","diet","AN0058","PJP 10",233.9,NA,81,81.3,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"48","diet","AN0058","PJP 20",234.3,NA,82,78.1,NA,NA,NA,NA,"High-fat",NA,"High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"49","diet","AN0058","PJP 30",229.7,NA,82.5,70.6,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"50","diet","EO0027","CBS",281,NA,154,NA,14.7,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.437810945273632,TRUE,FALSE,"Good forage"
"51","diet","EO0027","COC",281,NA,129,NA,13.9,NA,NA,NA,NA,NA,NA,"High-fat","by_category_dominance",0.477611940298508,TRUE,FALSE,"High-fat"
"52","diet","EO0027","Reference diet",284,NA,99.9,NA,15.1,NA,NA,NA,NA,NA,NA,"Protein","nearest_window_diet",NA,FALSE,TRUE,"Protein"
"53","diet","EO0046","0% CFL",107.3,406.6,132.5,105.1,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"54","diet","EO0046","10% CFL",111.7,447.9,106.3,138.3,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"55","diet","EO0046","20% CFL",135.8,508,107.3,105,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"56","diet","EO0046","30% CFL",139.7,561.4,112.5,102.5,NA,NA,NA,"High-fat","High-fat","High-fat","High-fat","High-fat","M7_numeric",NA,FALSE,FALSE,"High-fat"
"57","diet","EO0047","PP0-0%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"58","diet","EO0047","PP10-10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"59","diet","EO0047","PP20-20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"60","diet","EO0047","PP30-30%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
"61","diet","EO0057","T1",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.436781609195402,TRUE,FALSE,"Good forage"
"62","diet","EO0057","T2",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Good forage","by_category_dominance",0.436781609195402,TRUE,FALSE,"Good forage"
"63","diet","EO0078","0% PJP",169,NA,67,49.3,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"64","diet","EO0078","10%PJP",155.1,NA,NA,45.7,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"65","diet","EO0078","20%PJP",150.9,NA,57.6,42.8,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"66","diet","EO0078","30%PJP",160.1,NA,51.2,40.4,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
"67","diet","EO0078","40%PJP",157.2,NA,49,39,NA,NA,NA,NA,NA,NA,NA,"Good forage","nearest_window_diet",NA,FALSE,TRUE,"Good forage"
