"","D.Item","Ingredient_Category","Category_Source"
"1","acacia angusitissima leaves dried ensiled","IV",NA
"2","acacia saligna dried","IV",NA
"3","acacia tortilis leaves dried ground","II",NA
"4","acacia tortilis pods ground","IV","Nearest-window"
"5","african palm larvae dried ground","III",NA
"6","albizia lebbeck leaves ground","IV",NA
"7","alfalfa","IV",NA
"8","alfalfa dried","IV",NA
"9","alkali","VI",NA
"10","andropogon","V",NA
"11","andropogon dried","V",NA
"12","andropogon gayanus","V",NA
"13","atella","V",NA
"14","atriplex halimus","IV",NA
"15","atriplex nummularia dried ground","V",NA
"16","avocado","V",NA
"17","axtra xap","VI",NA
"18","banana leaves","V",NA
"19","barley","I",NA
"20","barley grain","I",NA
"21","barley ground","I",NA
"22","barley offal","II",NA
"23","beet pulp dried","IV",NA
"24","bicarbonate of soda","VI",NA
"25","black cumin seed ground","II",NA
"26","blood ground","III",NA
"27","blue lupin","III",NA
"28","bone","VI",NA
"29","bone crushed","VI",NA
"30","bone ground","VI",NA
"31","bothriochloa","V",NA
"32","bracharia","V",NA
"33","bracharia decumbens dried","V",NA
"34","bread waste","I",NA
"35","brewers by-product","V",NA
"36","brewers grain","V",NA
"37","brewers grain dried","IV",NA
"38","calcium carbonate","VI",NA
"39","calliandra calothyrsus leaves dried ensiled","V",NA
"40","canola cake","III",NA
"41","canola ground","II",NA
"42","cashew shell boiled crushed","II",NA
"43","cashew shell ground","II",NA
"44","cassava leaves","IV",NA
"45","cassava leaves dried","IV",NA
"46","cassava leaves ground","IV",NA
"47","cassava offal","V","Nearest-window"
"48","cassava peel","IV",NA
"49","cassava peel ground","IV",NA
"50","cassava sieviate dried fermented ground","V","Nearest-window"
"51","catha edulis residue","IV",NA
"52","catha edulis residue dried","IV",NA
"53","catha edulis residue ensiled","IV","Nearest-window"
"54","cement","VI",NA
"55","chamaecytisus palmensis leaves dried","IV",NA
"56","chicken manure dried ground","IV",NA
"57","chicken offal dried ground","II",NA
"58","chloris gayana dried","V",NA
"59","choline cloride ground","VI",NA
"60","citrus pulp","I",NA
"61","citrus pulp ensiled","I",NA
"62","cocoa bean shell dried ground","IV",NA
"63","coconut cake ground","II",NA
"64","commercial feed","IV","Nearest-window"
"65","concentrate","IV",NA
"66","cotton seed","II",NA
"67","cotton seed cake","II",NA
"68","cotton seed cake ground","II",NA
"69","cotton seed ground","II",NA
"70","cowpea dried","IV",NA
"71","cowpea husk","V",NA
"72","crotalaria ochroleuca dried","III","Nearest-window"
"73","cynodon dried","V",NA
"74","cynodon nlemfuensis dried","V",NA
"75","date","I","Nearest-window"
"76","delonix regia seed alkali treated dried fermented ground","IV",NA
"77","delonix regia seed dried ground roasted","III","Nearest-window"
"78","delonix regia seed ground","III","Nearest-window"
"79","delonix regia seed ground roasted","III","Nearest-window"
"80","dicalcium phosphate","VI",NA
"81","digitaria dried","V",NA
"82","effective microbes solution","VI",NA
"83","enzyme","VI",NA
"84","faidherbia albida pods dried ground soaked","IV",NA
"85","faidherbia albida pods ground","IV",NA
"86","feather boiled dried ground","III",NA
"87","ficus thonningii leaves dried","IV",NA
"88","ficus thonningii leaves ground","IV",NA
"89","fish boiled dried ground","III",NA
"90","fish dried ground","III",NA
"91","fish ground","III",NA
"92","fish processing waste","III",NA
"93","fluted pumpkin leaves dried ground","II",NA
"94","giant snail boiled dried ground","III",NA
"95","gliciridia sepium ground","IV",NA
"96","gliciridia sepium leaves dried ground","IV",NA
"97","gliciridia sepium leaves ground","IV",NA
"98","gmelina arborea leaves ground","IV","Nearest-window"
"99","grape seeds","II",NA
"100","grass dried ensiled","V",NA
"101","grass pea haulm","IV",NA
"102","groundnut cake","III",NA
"103","groundnut haulm","V",NA
"104","groundnut hull","V",NA
"105","hibiscus seed ground","IV",NA
"106","hominy","IV","Nearest-window"
"107","hominy ground","IV","Nearest-window"
"108","hops","V",NA
"109","housefly maggot dried ground","II",NA
"110","hyparrhenia","V",NA
"111","hyparrhenia dried","V",NA
"112","indigofera atriceps dried","IV",NA
"113","jackfruit","IV","Nearest-window"
"114","jatropha curcas cake dried ground","II",NA
"115","jojoba ground","IV",NA
"116","lablab purpureus","IV",NA
"117","lablab purpureus dried","IV",NA
"118","lablab purpureus dried wilted","IV",NA
"119","lablab purpureus stover","IV",NA
"120","lard","II",NA
"121","lentil screening","I",NA
"122","leucaena leucocephala dried","IV",NA
"123","leucaena leucocephala dried ground","IV",NA
