"","B.Code","D.Item","DC.Variable","DC.Value","is_entire_diet","is_group"
"1","AG0018","BSM","CP",110,TRUE,FALSE
"2","AG0018","BSM","NDF",NA,TRUE,FALSE
"3","AG0018","BSM","Ash",NA,TRUE,FALSE
"4","AG0018","BSM","EE",NA,TRUE,FALSE
"5","AG0018","BSM","GE",NA,TRUE,FALSE
"6","AG0018","LLM","CP",217,TRUE,FALSE
"7","AG0018","LLM","NDF",332,TRUE,FALSE
"8","AG0018","LLM","Ash",81,TRUE,FALSE
"9","AG0018","LLM","EE",NA,TRUE,FALSE
"10","AG0018","LLM","GE",NA,TRUE,FALSE
"11","AG0018","MFM","CP",133,TRUE,FALSE
"12","AG0018","MFM","NDF",431,TRUE,FALSE
"13","AG0018","MFM","Ash",75,TRUE,FALSE
"14","AG0018","MFM","EE",NA,TRUE,FALSE
"15","AG0018","MFM","GE",NA,TRUE,FALSE
"16","AG0018","NP","CP",32,TRUE,FALSE
"17","AG0018","NP","NDF",762,TRUE,FALSE
"18","AG0018","NP","Ash",86,TRUE,FALSE
"19","AG0018","NP","EE",NA,TRUE,FALSE
"20","AG0018","NP","GE",NA,TRUE,FALSE
"21","AG0018","UTS","CP",157,TRUE,FALSE
"22","AG0018","UTS","NDF",718,TRUE,FALSE
"23","AG0018","UTS","Ash",97,TRUE,FALSE
"24","AG0018","UTS","EE",NA,TRUE,FALSE
"25","AG0018","UTS","GE",NA,TRUE,FALSE
"26","AG0042","60% F SOPM","CP",142.1,TRUE,FALSE
"27","AG0042","60% F SOPM","NDF",NA,TRUE,FALSE
"28","AG0042","60% F SOPM","Ash",57.7,TRUE,FALSE
"29","AG0042","60% F SOPM","EE",34.6,TRUE,FALSE
"30","AG0042","60% F SOPM","GE",NA,TRUE,FALSE
"31","AG0042","60% UF SOPM","CP",139.3,TRUE,FALSE
"32","AG0042","60% UF SOPM","NDF",NA,TRUE,FALSE
"33","AG0042","60% UF SOPM","Ash",54.6,TRUE,FALSE
"34","AG0042","60% UF SOPM","EE",34.2,TRUE,FALSE
"35","AG0042","60% UF SOPM","GE",NA,TRUE,FALSE
"36","AG0042","Con","CP",136.2,TRUE,FALSE
"37","AG0042","Con","NDF",NA,TRUE,FALSE
"38","AG0042","Con","Ash",52.2,TRUE,FALSE
