"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"1","0","CFM (10)","Wheat Bran","Crop Byproduct",129.333,"g",19
"2","0","CFM (10)","Mango Seed Kernel Dried Ground","Crop Byproduct",68.07,"g",10
"3","0","CFM (10)","Maize","Crop Product",224.631,"g",33
"4","0","CFM (10)","Cotton Seed Ground","Crop Byproduct",129.333,"g",19
"5","0","CFM (20)","Wheat Bran","Crop Byproduct",122.661,"g",18
"6","0","CFM (20)","Cotton Seed Ground","Crop Byproduct",129.4755,"g",19
"7","0","CFM (20)","Mango Seed Kernel Dried Ground","Crop Byproduct",136.29,"g",20
"8","0","CFM (20)","Maize","Crop Product",163.548,"g",24
"9","0","CFM (5)","Mango Seed Kernel Dried Ground","Crop Byproduct",34.0275,"g",5
"10","0","CFM (5)","Wheat Bran","Crop Byproduct",156.5265,"g",23
"11","0","CFM (5)","Maize","Crop Product",238.1925,"g",35
"12","0","CFM (5)","Cotton Seed Ground","Crop Byproduct",122.499,"g",18
"13","0","CFM without MSK","Wheat Bran","Crop Byproduct",170.55,"g",25
"14","0","CFM without MSK","Maize","Crop Product",266.058,"g",39
"15","0","CFM without MSK","Cotton Seed Ground","Crop Byproduct",115.974,"g",17
"16","AG0018","BSM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726
"17","AG0018","BSM","Beef Survival Meal","Other Feed",1000,"g",95.8904109589041
"18","AG0018","BSM","Salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863
"19","AG0018","LLM","Salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863
"20","AG0018","LLM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726
"21","AG0018","LLM","Leucaena leucocephala","Agroforestry Fodders",1000,"g",95.8904109589041
"22","AG0018","MFM","Maize Stover Urea Treated","Crop Byproduct",0.333428571428571,"g",0.760260586319218
"23","AG0018","MFM","Macroptilium atropurpureum","Agroforestry Fodders",0.333285714285714,"g",0.759934853420195
"24","AG0018","MFM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g",65.1465798045603
"25","AG0018","MFM","Salt","Non-ERA Feed",14.2857142857143,"g",32.5732899022801
"26","AG0018","MFM","Leucaena leucocephala","Agroforestry Fodders",0.333285714285714,"g",0.759934853420195
"27","AG0018","NP","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g",66.6666666666667
"28","AG0018","NP","Salt","Non-ERA Feed",14.2857142857143,"g",33.3333333333333
"29","AG0018","UTS","Salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863
"30","AG0018","UTS","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726
"31","AG0018","UTS","Maize Stover Urea Treated","Crop Byproduct",1000,"g",95.8904109589041
"32","AG0042","60% F SOPM","Soybean Ground","Crop Product",39.48,"g",12.6336
"33","AG0042","60% F SOPM","Bone Ground","Other Feed",4,"g",1.28
"34","AG0042","60% F SOPM","Maize Offal","Crop Byproduct",45.8,"g",14.656
"35","AG0042","60% F SOPM","Salt","Non-ERA Feed",2,"g",0.64
"36","AG0042","60% F SOPM","Orange Peels Dried Fermented Ground","Byproduct Fodders",68.72,"g",21.9904
"37","AG0042","60% F SOPM","Rice Offal","Byproduct Fodders",40,"g",12.8
"38","AG0042","60% UF SOPM","Salt","Non-ERA Feed",2,"g",0.671817265703729
"39","AG0042","60% UF SOPM","Maize Offal","Crop Byproduct",45.8,"g",15.3846153846154
