"","X","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet","D.Item_raw"
"1",1,"0","CFM (10)","wheat offal","Crop Byproduct",129.333,"g",19,"Wheat Bran"
"2",2,"0","CFM (10)","mango seed kernel dried ground","Crop Byproduct",68.07,"g",10,"Mango Seed Kernel Dried Ground"
"3",3,"0","CFM (10)","maize","Crop Product",224.631,"g",33,"Maize"
"4",4,"0","CFM (10)","cotton seed ground","Crop Byproduct",129.333,"g",19,"Cotton Seed Ground"
"5",5,"0","CFM (20)","wheat offal","Crop Byproduct",122.661,"g",18,"Wheat Bran"
"6",6,"0","CFM (20)","cotton seed ground","Crop Byproduct",129.4755,"g",19,"Cotton Seed Ground"
"7",7,"0","CFM (20)","mango seed kernel dried ground","Crop Byproduct",136.29,"g",20,"Mango Seed Kernel Dried Ground"
"8",8,"0","CFM (20)","maize","Crop Product",163.548,"g",24,"Maize"
"9",9,"0","CFM (5)","mango seed kernel dried ground","Crop Byproduct",34.0275,"g",5,"Mango Seed Kernel Dried Ground"
"10",10,"0","CFM (5)","wheat offal","Crop Byproduct",156.5265,"g",23,"Wheat Bran"
"11",11,"0","CFM (5)","maize","Crop Product",238.1925,"g",35,"Maize"
"12",12,"0","CFM (5)","cotton seed ground","Crop Byproduct",122.499,"g",18,"Cotton Seed Ground"
"13",13,"0","CFM without MSK","wheat offal","Crop Byproduct",170.55,"g",25,"Wheat Bran"
"14",14,"0","CFM without MSK","maize","Crop Product",266.058,"g",39,"Maize"
"15",15,"0","CFM without MSK","cotton seed ground","Crop Byproduct",115.974,"g",17,"Cotton Seed Ground"
"16",16,"AG0018","BSM","molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726,"Unspecified Molasses"
"17",17,"AG0018","BSM","beef survival meal","Other Feed",1000,"g",95.8904109589041,"Beef Survival Meal"
"18",18,"AG0018","BSM","salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863,"Salt"
"19",19,"AG0018","LLM","salt","Non-ERA Feed",14.2857142857143,"g",1.36986301369863,"Salt"
"20",20,"AG0018","LLM","molasses","Crop Byproduct",28.5714285714286,"g",2.73972602739726,"Unspecified Molasses"
"21",21,"AG0018","LLM","leucaena leucocephala","Agroforestry Fodders",1000,"g",95.8904109589041,"Leucaena leucocephala"
"22",22,"AG0018","MFM","maize stover urea treated","Crop Byproduct",0.333428571428571,"g",0.760260586319218,"Maize Stover Urea Treated"
"23",23,"AG0018","MFM","macroptilium atropurpureum","Agroforestry Fodders",0.333285714285714,"g",0.759934853420195,"Macroptilium atropurpureum"
"24",24,"AG0018","MFM","molasses","Crop Byproduct",28.5714285714286,"g",65.1465798045603,"Unspecified Molasses"
"25",25,"AG0018","MFM","salt","Non-ERA Feed",14.2857142857143,"g",32.5732899022801,"Salt"
"26",26,"AG0018","MFM","leucaena leucocephala","Agroforestry Fodders",0.333285714285714,"g",0.759934853420195,"Leucaena leucocephala"
"27",27,"AG0018","NP","molasses","Crop Byproduct",28.5714285714286,"g",66.6666666666667,"Unspecified Molasses"
"28",28,"AG0018","NP","salt","Non-ERA Feed",14.2857142857143,"g",33.3333333333333,"Salt"
