B.Code,A.Level.Name,ED.Intake.Item,ED.Intake.Item.Raw,ED.Mean.T,ED.Error,Out.Subind,P.Product,is_entire_diet,is_group,T.Animals,Out.Unit.Animals,Out.Unit.Time,Out.Unit.Amount,Out.WG.Start,Out.WG.Unit
0,CFM (10),Corn; Ensilation;Rice Straw,Corn; Ensilation;Rice Straw,0.53977,7.11,Feed Intake,NA,FALSE,NA,3,individual,day,kg,53,kg
0,CFM (10),Entire Diet,Entire Diet,0.6807000000000001,11.89,Feed Intake,NA,TRUE,NA,3,individual,day,kg,53,kg
0,CFM (20),Corn; Ensilation;Rice Straw,Corn; Ensilation;Rice Straw,0.53199,5.51,Feed Intake,NA,FALSE,NA,3,individual,day,kg,53,kg
0,CFM (20),Entire Diet,Entire Diet,0.68145,5.03,Feed Intake,NA,TRUE,NA,3,individual,day,kg,53,kg
0,CFM (5),Corn; Ensilation;Rice Straw,Corn; Ensilation;Rice Straw,0.5373,6.41,Feed Intake,NA,FALSE,NA,3,individual,day,kg,53,kg
0,CFM (5),Entire Diet,Entire Diet,0.68055,5.93,Feed Intake,NA,TRUE,NA,3,individual,day,kg,53,kg
0,CFM without MSK,Corn; Ensilation;Rice Straw,Corn; Ensilation;Rice Straw,0.5422899999999999,7.15,Feed Intake,NA,FALSE,NA,3,individual,day,kg,53,kg
0,CFM without MSK,Entire Diet,Entire Diet,0.6822,9.54,Feed Intake,NA,TRUE,NA,3,individual,day,kg,53,kg
AG0042,60% F SOPM,60% F SOPM,Entire Diet,0.3125,26.91,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,9.72,kg
AG0042,60% F SOPM,F SOP Supplement,F SOP Supplement,0.121785714285714,13.75,Feed Intake,Goat,FALSE,TRUE,1,individual,day,kg,9.72,kg
AG0042,60% F SOPM,Andropogon gayanus,Gamba Grass,0.190714285714286,18.2142857142857,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,9.72,kg
AG0042,60% UF SOPM,60% UF SOPM,Entire Diet,0.29769999999999996,26.91,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,9.25,kg
AG0042,60% UF SOPM,Andropogon gayanus,Gamba Grass,0.183035714285714,18.2142857142857,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,9.25,kg
AG0042,60% UF SOPM,UF SOP Supplement,UF SOP Supplement,0.11464285714285699,13.75,Feed Intake,Goat,FALSE,TRUE,1,individual,day,kg,9.25,kg
AG0042,Con,Con Supplement,Con Supplement,0.119821428571429,13.75,Feed Intake,Goat,FALSE,TRUE,1,individual,day,kg,9.83,kg
AG0042,Con,Con,Entire Diet,0.31239999999999996,26.91,Feed Intake,Goat,TRUE,FALSE,1,individual,day,kg,9.83,kg
AG0042,Con,Andropogon gayanus,Gamba Grass,0.19267857142857098,18.2142857142857,Feed Intake,Goat,FALSE,FALSE,1,individual,day,kg,9.83,kg
AG0051,NG,NG,Entire Diet,8.3,NA,Feed Intake,NA,TRUE,FALSE,10,individual,day,kg,NA,NA
AG0051,NGD,NGD,Entire Diet,8.2,NA,Feed Intake,Cattle,TRUE,FALSE,10,individual,day,kg,NA,NA
AG0051,PG,PG,Entire Diet,9.1,NA,Feed Intake,Cattle,TRUE,FALSE,10,individual,day,kg,NA,NA
AG0051,PGD,PGD,Entire Diet,9.2,NA,Feed Intake,Cattle,TRUE,FALSE,10,individual,day,kg,NA,NA
AN0007,T1,T1,Entire Diet,0.3301,NA,Feed Intake,Sheep,TRUE,FALSE,2,individual,day,kg,12.8,kg
AN0007,T1,Panicum maximum,Panicum maximum,0.2605,NA,Feed Intake,Sheep,FALSE,FALSE,2,individual,day,kg,12.8,kg
AN0007,T1,SupplementBDG,SupplementBDG,0.0696,NA,Feed Intake,Sheep,FALSE,TRUE,2,individual,day,kg,12.8,kg
