"","B.Code","A.Level.Name","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","P.Product","is_entire_diet","is_group","T.Animals","Out.Unit.Animals","Out.Unit.Time","Out.Unit.Amount","Out.WG.Start","Out.WG.Unit","ED_item_clean"
"1","AG0042","60% F SOPM","60% F SOPM","Entire Diet",0.2282,18.36,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",9.72,"kg","60% f sopm"
"2","AG0042","60% F SOPM","F SOP Supplement","F SOP Supplement",0.121785714285714,13.75,"Feed Intake","Goat",FALSE,TRUE,1,"individual","day","kg",9.72,"kg","f sop supplement"
"3","AG0042","60% F SOPM","Andropogon gayanus","Gamba Grass",0.190714285714286,18.2142857142857,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",9.72,"kg","andropogon gayanus"
"4","AG0042","60% UF SOPM","60% UF SOPM","Entire Diet",0.24064,18.36,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",9.25,"kg","60% uf sopm"
"5","AG0042","60% UF SOPM","Andropogon gayanus","Gamba Grass",0.183035714285714,18.2142857142857,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",9.25,"kg","andropogon gayanus"
"6","AG0042","60% UF SOPM","UF SOP Supplement","UF SOP Supplement",0.114642857142857,13.75,"Feed Intake","Goat",FALSE,TRUE,1,"individual","day","kg",9.25,"kg","uf sop supplement"
"7","AG0042","Con","Con Supplement","Con Supplement",0.119821428571429,13.75,"Feed Intake","Goat",FALSE,TRUE,1,"individual","day","kg",9.83,"kg","con supplement"
"8","AG0042","Con","Con","Entire Diet",0.27335,18.36,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",9.83,"kg","con"
"9","AG0042","Con","Andropogon gayanus","Gamba Grass",0.192678571428571,18.2142857142857,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",9.83,"kg","andropogon gayanus"
"10","AG0051","NG","NG","Entire Diet",8.3,NA,"Feed Intake",NA,TRUE,FALSE,10,"individual","day","kg",NA,NA,"ng"
"11","AG0051","NGD","NGD","Entire Diet",8.2,NA,"Feed Intake","Cattle",TRUE,FALSE,10,"individual","day","kg",NA,NA,"ngd"
"12","AG0051","PG","PG","Entire Diet",9.1,NA,"Feed Intake","Cattle",TRUE,FALSE,10,"individual","day","kg",NA,NA,"pg"
"13","AG0051","PGD","PGD","Entire Diet",9.2,NA,"Feed Intake","Cattle",TRUE,FALSE,10,"individual","day","kg",NA,NA,"pgd"
"14","AN0007","T1","T1","Entire Diet",0.3301,NA,"Feed Intake","Sheep",TRUE,FALSE,2,"individual","day","kg",12.8,"kg","t1"
"15","AN0007","T1","Panicum maximum","Panicum maximum",0.2605,NA,"Feed Intake","Sheep",FALSE,FALSE,2,"individual","day","kg",12.8,"kg","panicum maximum"
"16","AN0007","T1","SupplementBDG","SupplementBDG",0.0696,NA,"Feed Intake","Sheep",FALSE,TRUE,2,"individual","day","kg",12.8,"kg","supplementbdg"
"17","AN0007","T2","T2","Entire Diet",0.32982,NA,"Feed Intake","Sheep",TRUE,FALSE,2,"individual","day","kg",13,"kg","t2"
"18","AN0007","T2","Panicum maximum","Panicum maximum",0.25632,NA,"Feed Intake","Sheep",FALSE,FALSE,2,"individual","day","kg",13,"kg","panicum maximum"
"19","AN0007","T2","SupplementGALM 1","SupplementGALM 1",0.0735,NA,"Feed Intake","Sheep",FALSE,TRUE,2,"individual","day","kg",13,"kg","supplementgalm 1"
"20","AN0007","T3","T3","Entire Diet",0.34747,NA,"Feed Intake","Sheep",TRUE,FALSE,2,"individual","day","kg",13.2,"kg","t3"
"21","AN0007","T3","Panicum maximum","Panicum maximum",0.26667,NA,"Feed Intake","Sheep",FALSE,FALSE,2,"individual","day","kg",13.2,"kg","panicum maximum"
"22","AN0007","T3","SupplementGALM 2","SupplementGALM 2",0.0808,NA,"Feed Intake","Sheep",FALSE,TRUE,2,"individual","day","kg",13.2,"kg","supplementgalm 2"
"23","AN0007","T4","T4","Entire Diet",0.3469,NA,"Feed Intake","Sheep",TRUE,FALSE,2,"individual","day","kg",12.6,"kg","t4"
"24","AN0007","T4","Panicum maximum","Panicum maximum",0.27,NA,"Feed Intake","Sheep",FALSE,FALSE,2,"individual","day","kg",12.6,"kg","panicum maximum"
"25","AN0007","T4","SupplementGALM 3","SupplementGALM 3",0.0769,NA,"Feed Intake","Sheep",FALSE,TRUE,2,"individual","day","kg",12.6,"kg","supplementgalm 3"
"26","AN0007","T5","T5","Entire Diet",0.34784,NA,"Feed Intake","Sheep",TRUE,FALSE,2,"individual","day","kg",13.2,"kg","t5"
"27","AN0007","T5","Panicum maximum","Panicum maximum",0.26764,NA,"Feed Intake","Sheep",FALSE,FALSE,2,"individual","day","kg",13.2,"kg","panicum maximum"
"28","AN0007","T5","SupplementGALM 4","SupplementGALM 4",0.0802,NA,"Feed Intake","Sheep",FALSE,TRUE,2,"individual","day","kg",13.2,"kg","supplementgalm 4"
"29","AN0020","Control T1","Control T1","Entire Diet",0.0503360714285714,NA,"Feed Intake","Chicken",TRUE,FALSE,15,"individual","day","kg",0.0471,"kg","control t1"
"30","AN0020","T2","T2","Entire Diet",0.0484342857142857,NA,"Feed Intake","Chicken",TRUE,FALSE,15,"individual","day","kg",0.04698,"kg","t2"
"31","AN0020","T3","T3","Entire Diet",0.0490296428571429,NA,"Feed Intake","Chicken",TRUE,FALSE,15,"individual","day","kg",0.05,"kg","t3"
"32","AN0021","U0","U0","Entire Diet",0.853,0.209,"Feed Intake","Sheep",TRUE,FALSE,1,"individual","day","kg",10.24,"kg","u0"
"33","AN0021","U10","U10","Entire Diet",0.85858,0.209,"Feed Intake","Sheep",TRUE,FALSE,1,"individual","day","kg",11.1,"kg","u10"
"34","AN0021","U15","U15","Entire Diet",0.94988,0.209,"Feed Intake","Sheep",TRUE,FALSE,1,"individual","day","kg",10.1,"kg","u15"
"35","AN0021","U20","U20","Entire Diet",0.93804,0.209,"Feed Intake","Sheep",TRUE,FALSE,1,"individual","day","kg",9.8,"kg","u20"
"36","AN0057","0 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.411,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.4,"kg","cynadon dactylon dried"
"37","AN0057","0 PPL","0 PPL","Entire Diet",0.411,19.1,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.4,"kg","0 ppl"
"38","AN0057","150 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.373,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",NA,NA,"cynadon dactylon dried"
"39","AN0057","150 PPL","150 PPL","Entire Diet",0.513,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",NA,NA,"150 ppl"
"40","AN0057","150 PPL","Pigeon Pea Leaves Dried","Pigeon Pea Leaves",0.14,NA,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",NA,NA,"pigeon pea leaves dried"
"41","AN0057","300 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.37,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.5,"kg","cynadon dactylon dried"
"42","AN0057","300 PPL","300 PPL","Entire Diet",0.639,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.5,"kg","300 ppl"
"43","AN0057","300 PPL","Pigeon Pea Leaves Dried","Pigeon Pea Leaves",0.269,NA,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.5,"kg","pigeon pea leaves dried"
"44","AN0057","450 PPL","Cynadon dactylon Dried","Cynodon dactylon Hay",0.368,19.1,"Feed Intake","Goat",FALSE,FALSE,1,"individual","day","kg",15.7,"kg","cynadon dactylon dried"
"45","AN0057","450 PPL","450 PPL","Entire Diet",0.763,19.2,"Feed Intake","Goat",TRUE,FALSE,1,"individual","day","kg",15.7,"kg","450 ppl"
