"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","Source","Units","T.Animals","Out.WG.Start","Out.WG.Unit","basal_intake_status","Prediction_Source","Prediction_Source.from_AName","from_feed_intake","T.Name","T.Control","D.Item_raw","Ingredient_Category","Ingredient_Category_orig","Category_Source.x","Category_Source.y"
"1","0","cfm (10)","wheat offal","Crop Byproduct",129.333,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (10)","no","wheat bran","Good forage","Good forage",NA,NA
"2","0","cfm (10)","mango seed kernel dried ground","Crop Byproduct",68.07,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (10)","no","mango seed kernel dried ground","High-fat","High-fat",NA,NA
"3","0","cfm (10)","maize","Crop Product",224.631,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (10)","no","maize","High-starch","High-starch",NA,NA
"4","0","cfm (10)","cotton seed ground","Crop Byproduct",129.333,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (10)","no","cotton seed ground","High-fat","High-fat",NA,NA
"5","0","cfm (20)","wheat offal","Crop Byproduct",122.661,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (20)","no","wheat bran","Good forage","Good forage",NA,NA
"6","0","cfm (20)","cotton seed ground","Crop Byproduct",129.4755,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (20)","no","cotton seed ground","High-fat","High-fat",NA,NA
"7","0","cfm (20)","mango seed kernel dried ground","Crop Byproduct",136.29,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (20)","no","mango seed kernel dried ground","High-fat","High-fat",NA,NA
"8","0","cfm (20)","maize","Crop Product",163.548,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (20)","no","maize","High-starch","High-starch",NA,NA
"9","0","cfm (5)","mango seed kernel dried ground","Crop Byproduct",34.0275,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (5)","no","mango seed kernel dried ground","High-fat","High-fat",NA,NA
"10","0","cfm (5)","wheat offal","Crop Byproduct",156.5265,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (5)","no","wheat bran","Good forage","Good forage",NA,NA
"11","0","cfm (5)","maize","Crop Product",238.1925,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (5)","no","maize","High-starch","High-starch",NA,NA
"12","0","cfm (5)","cotton seed ground","Crop Byproduct",122.499,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM (5)","no","cotton seed ground","High-fat","High-fat",NA,NA
"13","0","cfm without msk","wheat offal","Crop Byproduct",170.55,"g","day","individual","Yes",NA,"concentrate","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM without MSK","yes","wheat bran","Good forage","Good forage",NA,NA
"14","0","cfm without msk","maize","Crop Product",266.058,"g","day","individual","Yes",NA,"concentrate 1","camel","%;day;individual",3,53,"kg",NA,NA,NA,FALSE,"CFM without MSK","yes","maize","High-starch","High-starch",NA,NA
