B.Code,A.Level.Name,D.Item,D.Type,D.Amount,D.Unit.Amount,D.Unit.Time,D.Unit.Animals,DC.Is.Dry,D.Ad.lib,D.Item.Group,Source,Units,T.Animals,Out.WG.Start,Out.WG.Unit,basal_intake_status,Prediction_Source,Prediction_Source.from_AName,from_feed_intake,T.Name,T.Control
0,CFM (10),Wheat Bran,Crop Byproduct,129.333,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (10),no
0,CFM (10),Mango Seed Kernel Dried Ground,Crop Byproduct,68.07000000000001,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (10),no
0,CFM (10),Maize,Crop Product,224.63100000000003,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (10),no
0,CFM (10),Cotton Seed Ground,Crop Byproduct,129.333,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (10),no
0,CFM (20),Wheat Bran,Crop Byproduct,122.66099999999999,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Cotton Seed Ground,Crop Byproduct,129.47549999999998,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Minerals and Vitamins Mix,Supplement,3.4072500000000003,g,day,individual,Yes,NA,Base,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Mango Seed Kernel Dried Ground,Crop Byproduct,136.29,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Lime,Supplement,13.629000000000001,g,day,individual,Yes,NA,Base,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Salt,Other Ingredients,10.22175,g,day,individual,Yes,NA,Base,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Soybean Ground,Crop Product,68.145,g,day,individual,Yes,NA,Base,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Maize Ensiled,Crop Product,NA,NA,NA,NA,Yes,Yes,Base,camel,NA;NA;NA,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Unspecified Molasses,Crop Byproduct,34.0725,g,day,individual,Yes,NA,Base,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Rice Straw,Crop Byproduct,NA,NA,NA,NA,Yes,Yes,Base,camel,NA;NA;NA,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (20),Maize,Crop Product,163.548,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (20),no
0,CFM (5),Mango Seed Kernel Dried Ground,Crop Byproduct,34.0275,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (5),no
0,CFM (5),Wheat Bran,Crop Byproduct,156.5265,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (5),no
0,CFM (5),Maize,Crop Product,238.19249999999997,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (5),no
0,CFM (5),Cotton Seed Ground,Crop Byproduct,122.499,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM (5),no
0,CFM without MSK,Wheat Bran,Crop Byproduct,170.55,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM without MSK,yes
0,CFM without MSK,Maize,Crop Product,266.058,g,day,individual,Yes,NA,concentrate 1,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM without MSK,yes
0,CFM without MSK,Cotton Seed Ground,Crop Byproduct,115.974,g,day,individual,Yes,NA,concentrate,camel,%;day;individual,3,53,kg,NA,NA,NA,FALSE,CFM without MSK,yes
AG0018,BSM,Unspecified Molasses,Crop Byproduct,28.571428571428573,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,295.56666666666666,kg,NA,NA,NA,FALSE,BSM,no
AG0018,BSM,Beef Survival Meal,Other Feed,1000,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,295.56666666666666,kg,NA,NA,NA,FALSE,BSM,no
AG0018,BSM,Salt,Non-ERA Feed,14.285714285714286,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,295.56666666666666,kg,NA,NA,NA,FALSE,BSM,no
AG0018,LLM,Salt,Non-ERA Feed,14.285714285714286,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,287.8333333333333,kg,NA,NA,NA,FALSE,LLM,no
AG0018,LLM,Unspecified Molasses,Crop Byproduct,28.571428571428573,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,287.8333333333333,kg,NA,NA,NA,FALSE,LLM,no
AG0018,LLM,Leucaena leucocephala,Agroforestry Fodders,1000,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,287.8333333333333,kg,NA,NA,NA,FALSE,LLM,no
AG0018,MFM,Maize Stover Urea Treated,Crop Byproduct,0.33342857142857146,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,279.93333333333334,kg,NA,NA,NA,FALSE,MFM,no
AG0018,MFM,Macroptilium atropurpureum,Agroforestry Fodders,0.3332857142857143,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,279.93333333333334,kg,NA,NA,NA,FALSE,MFM,no
AG0018,MFM,Unspecified Molasses,Crop Byproduct,28.571428571428573,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,279.93333333333334,kg,NA,NA,NA,FALSE,MFM,no
AG0018,MFM,Salt,Non-ERA Feed,14.285714285714286,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,279.93333333333334,kg,NA,NA,NA,FALSE,MFM,no
AG0018,MFM,Leucaena leucocephala,Agroforestry Fodders,0.3332857142857143,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,279.93333333333334,kg,NA,NA,NA,FALSE,MFM,no
AG0018,NP,Unspecified Molasses,Crop Byproduct,28.571428571428573,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,260.23333333333335,kg,NA,NA,NA,FALSE,NP,yes
AG0018,NP,Salt,Non-ERA Feed,14.285714285714286,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,260.23333333333335,kg,NA,NA,NA,FALSE,NP,yes
AG0018,UTS,Salt,Non-ERA Feed,14.285714285714286,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,266.43333333333334,kg,NA,NA,NA,FALSE,UTS,no
AG0018,UTS,Unspecified Molasses,Crop Byproduct,28.571428571428573,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,266.43333333333334,kg,NA,NA,NA,FALSE,UTS,no
AG0018,UTS,Maize Stover Urea Treated,Crop Byproduct,1000,g,day,individual,Yes,No,NA,livestock,g;day;individual,6,266.43333333333334,kg,NA,NA,NA,FALSE,UTS,no
AG0042,60% F SOPM,Soybean Ground,Crop Product,39.48,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
AG0042,60% F SOPM,Bone Ground,Other Feed,4,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
AG0042,60% F SOPM,Maize Offal,Crop Byproduct,45.8,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
AG0042,60% F SOPM,Salt,Non-ERA Feed,2,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
AG0042,60% F SOPM,Orange Peels Dried Fermented Ground,Byproduct Fodders,68.72,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
AG0042,60% F SOPM,Rice Offal,Byproduct Fodders,40,g,day,individual,Yes,NA,F SOP Supplement,livestock,g;day;individual,1,9.72,kg,NA,NA,NA,FALSE,60% F SOPM,no
