"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","D.Item.AOM","AOM.Scientific.Name","Source","Units","T.Animals","D.Unit.Standard","Out.WG.Start","Out.WG.Unit","intake_source","ignore_for_balance","T.Name","T.Control"
"1","AG0018","BSM","Salt","Non-ERA Feed",14.2857142857143,"g","day","individual","Yes","No",NA,"AOM_000772",NA,"livestock","g;day;individual",6,"g day individual",295.566666666667,"kg","original",TRUE,"BSM","no"
"2","AG0018","BSM","Beef Survival Meal","Other Feed",1000,"g","day","individual","Yes","No",NA,"AOM_000798",NA,"livestock","g;day;individual",6,"g day individual",295.566666666667,"kg","original",FALSE,"BSM","no"
"3","AG0018","BSM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"AOM_006003",NA,"livestock","g;day;individual",6,"g day individual",295.566666666667,"kg","original",FALSE,"BSM","no"
"4","AG0018","LLM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"AOM_006003",NA,"livestock","g;day;individual",6,"g day individual",287.833333333333,"kg","original",FALSE,"LLM","no"
"5","AG0018","LLM","Leucaena leucocephala","Agroforestry Fodders",1000,"g","day","individual","Yes","No",NA,"AOM_000710","Leucaena leucocephala","livestock","g;day;individual",6,"g day individual",287.833333333333,"kg","original",FALSE,"LLM","no"
"6","AG0018","LLM","Salt","Non-ERA Feed",14.2857142857143,"g","day","individual","Yes","No",NA,"AOM_000772",NA,"livestock","g;day;individual",6,"g day individual",287.833333333333,"kg","original",TRUE,"LLM","no"
"7","AG0018","MFM","Salt","Non-ERA Feed",14.2857142857143,"g","day","individual","Yes","No",NA,"AOM_000772",NA,"livestock","g;day;individual",6,"g day individual",279.933333333333,"kg","original",TRUE,"MFM","no"
"8","AG0018","MFM","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"AOM_006003",NA,"livestock","g;day;individual",6,"g day individual",279.933333333333,"kg","original",FALSE,"MFM","no"
"9","AG0018","MFM","Leucaena leucocephala","Agroforestry Fodders",0.333285714285714,"g","day","individual","Yes","No",NA,"AOM_000710","Leucaena leucocephala","livestock","g;day;individual",6,"g day individual",279.933333333333,"kg","original",FALSE,"MFM","no"
"10","AG0018","MFM","Macroptilium atropurpureum","Agroforestry Fodders",0.333285714285714,"g","day","individual","Yes","No",NA,"AOM_001221","Macroptilium atropurpureum","livestock","g;day;individual",6,"g day individual",279.933333333333,"kg","original",FALSE,"MFM","no"
"11","AG0018","MFM","Maize Stover Urea Treated","Crop Byproduct",0.333428571428571,"g","day","individual","Yes","No",NA,"AOM_006002","Zea mays","livestock","g;day;individual",6,"g day individual",279.933333333333,"kg","original",FALSE,"MFM","no"
"12","AG0018","NP","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"AOM_006003",NA,"livestock","g;day;individual",6,"g day individual",260.233333333333,"kg","original",FALSE,"NP","yes"
"13","AG0018","NP","Salt","Non-ERA Feed",14.2857142857143,"g","day","individual","Yes","No",NA,"AOM_000772",NA,"livestock","g;day;individual",6,"g day individual",260.233333333333,"kg","original",TRUE,"NP","yes"
"14","AG0018","UTS","Salt","Non-ERA Feed",14.2857142857143,"g","day","individual","Yes","No",NA,"AOM_000772",NA,"livestock","g;day;individual",6,"g day individual",266.433333333333,"kg","original",TRUE,"UTS","no"
"15","AG0018","UTS","Unspecified Molasses","Crop Byproduct",28.5714285714286,"g","day","individual","Yes","No",NA,"AOM_006003",NA,"livestock","g;day;individual",6,"g day individual",266.433333333333,"kg","original",FALSE,"UTS","no"
"16","AG0018","UTS","Maize Stover Urea Treated","Crop Byproduct",1000,"g","day","individual","Yes","No",NA,"AOM_006002","Zea mays","livestock","g;day;individual",6,"g day individual",266.433333333333,"kg","original",FALSE,"UTS","no"
"17","AG0042","60% F SOPM","Rice Offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_000577","Oryza sativa","livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",FALSE,"60% F SOPM","no"
"18","AG0042","60% F SOPM","Bone Ground","Other Feed",4,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_000539",NA,"livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",FALSE,"60% F SOPM","no"
"19","AG0042","60% F SOPM","Salt","Non-ERA Feed",2,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_000772",NA,"livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",TRUE,"60% F SOPM","no"
"20","AG0042","60% F SOPM","Orange Peels Dried Fermented Ground","Byproduct Fodders",68.72,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_001947","Citrus sinensis","livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",FALSE,"60% F SOPM","no"
"21","AG0042","60% F SOPM","Soybean Ground","Crop Product",39.48,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_000613","Glycine max","livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",FALSE,"60% F SOPM","no"
"22","AG0042","60% F SOPM","Maize Offal","Crop Byproduct",45.8,"g","day","individual","Yes",NA,"F SOP Supplement","AOM_000571","Zea mays","livestock","g;day;individual",1,"g day individual",9.72,"kg","diet_intake",FALSE,"60% F SOPM","no"
"23","AG0042","60% UF SOPM","Maize Offal","Crop Byproduct",45.8,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000571","Zea mays","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"24","AG0042","60% UF SOPM","Salt","Non-ERA Feed",2,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000772",NA,"livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",TRUE,"60% UF SOPM","no"
"25","AG0042","60% UF SOPM","Orange Dried","Byproduct Fodders",68.72,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_001745","Citrus sinensis","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"26","AG0042","60% UF SOPM","Bone Ground","Other Feed",4,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000539",NA,"livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"27","AG0042","60% UF SOPM","Rice Offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000577","Oryza sativa","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"28","AG0042","60% UF SOPM","Soybean Ground","Crop Product",39.48,"g","day","individual","Yes",NA,"UF SOP Supplement","AOM_000613","Glycine max","livestock","g;day;individual",1,"g day individual",9.25,"kg","diet_intake",FALSE,"60% UF SOPM","no"
"29","AG0042","Con","Salt","Non-ERA Feed",2,"g","day","individual","Yes",NA,"Con Supplement","AOM_000772",NA,"livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",TRUE,"Con","yes"
"30","AG0042","Con","Bone Ground","Other Feed",4,"g","day","individual","Yes",NA,"Con Supplement","AOM_000539",NA,"livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"31","AG0042","Con","Maize Offal","Crop Byproduct",114.52,"g","day","individual","Yes",NA,"Con Supplement","AOM_000571","Zea mays","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"32","AG0042","Con","Rice Offal","Byproduct Fodders",40,"g","day","individual","Yes",NA,"Con Supplement","AOM_000577","Oryza sativa","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"33","AG0042","Con","Soybean Ground","Crop Product",39.48,"g","day","individual","Yes",NA,"Con Supplement","AOM_000613","Glycine max","livestock","g;day;individual",1,"g day individual",9.83,"kg","diet_intake",FALSE,"Con","yes"
"34","AG0051","NG","Pennisetum purpureum","Herbaceous Fodders",8.3,"kg",NA,"individual","Yes",NA,NA,"AOM_000689","Pennisetum purpureum","livestock","% Diet;NA;individual",10,"% Diet NA individual",NA,NA,"diet_intake",FALSE,"NG","yes"
