,D.Item,GE,Ash,CP,EE,NDF
1,acacia albida leaves,NA,NA,NA,NA,NA
2,acacia angustissima,NA,NA,NA,NA,NA
3,acacia angustissima dried,NA,NA,NA,NA,NA
4,acacia auriculiformis leaves dried ground,NA,NA,NA,NA,NA
5,acacia brevispica leaves crushed dried,NA,NA,NA,NA,NA
6,acacia cyanophylla,NA,NA,NA,NA,NA
7,acacia dealbata leaves,NA,NA,NA,NA,NA
8,acacia karroo leaves dried,NA,NA,NA,NA,NA
9,acacia mearnsii dried,NA,NA,NA,NA,NA
10,acacia mearnsii leaves,NA,NA,NA,NA,NA
11,acacia nilotica,18.3,50.1,117,22,268
12,acacia nilotica pods dried,18.3,51,117,22,268
13,acacia sieberiana pods,NA,55,NA,10,NA
14,acacia tortilis pods dried,18.5,60,161,22,342
15,acacia tortilis pods ground,18.5,60,161,22,342
16,actipal hp 1,NA,NA,NA,NA,NA
17,adansonia digitata seed cake,NA,45.7,169,52.6,NA
18,adansonia digitata seed cake decorticated ground screw press,NA,NA,NA,NA,NA
19,adansonia digitata seed cake dried fermented ground,NA,NA,NA,NA,NA
20,adansonia digitata seed dried fermented ground,NA,NA,NA,NA,NA
21,adansonia digitata seed ground,NA,NA,NA,NA,NA
22,afzelia africana leaves and twigs,NA,NA,NA,NA,NA
23,alchornea cordifolia,NA,NA,NA,NA,NA
24,amaranthus cruentus leaves ground,NA,193,230,54,NA
25,anacardium occidentale leaves,NA,NA,NA,NA,NA
26,andropogon gayanus ensiled wilted,NA,NA,NA,NA,NA
27,andropogon tectorum,NA,NA,NA,NA,NA
28,annona senegalensis leaves and twigs wilted,NA,NA,NA,NA,NA
29,anti fungi,NA,NA,NA,NA,NA
30,aquanutro abalone grower,NA,NA,NA,NA,NA
31,azadirachta indica leaves wilted,NA,58.75,90.9,24,NA
32,baby corn stalk ensiled,NA,NA,NA,NA,NA
33,balanites aegyptiaca dried,NA,NA,NA,NA,NA
34,balanites aegyptiaca leaves ground,NA,NA,NA,NA,NA
35,barley straw fermented,NA,NA,49,NA,NA
36,beef survival meal,NA,NA,110,NA,NA
37,beet fodder ensiled,NA,NA,NA,NA,NA
38,beetroot discards dried,NA,NA,NA,NA,NA
39,bentonite,NA,NA,NA,NA,NA
40,berchemia discolor leaves crushed dried,NA,NA,NA,NA,NA
41,berchemia discolor leaves dried,NA,NA,NA,NA,NA
42,bicarbonate of soda,NA,NA,NA,NA,NA
43,binder,NA,NA,NA,NA,NA
44,biscuit waste,NA,70,194,38.7,NA
45,biscuit waste dried ground,13388.8,60,96.5,NA,NA
46,blood dried ground heated,NA,64,719,NA,NA
47,brachiaria hybrid dried,NA,NA,NA,NA,NA
48,calliandra calothyrsus leaves,NA,NA,NA,NA,NA
49,calliandra calothyrsus leaves dried ground,NA,NA,250,NA,NA
50,carrot waste,NA,74.6,64.9,25.2,359.5
51,cashew shell,NA,NA,NA,NA,NA
52,cashew shell crushed dried,NA,NA,NA,NA,NA
53,cassava offal,17.7,37,17,13,NA
54,cassava peel crushed,NA,NA,NA,NA,NA
55,cassava peel crushed urea treated,NA,NA,NA,NA,NA
56,cassava peel ensiled,NA,NA,NA,NA,NA
57,cassava peel enzyme treated ground,NA,NA,NA,NA,NA
58,cassava peel urea treated,NA,NA,NA,NA,NA
59,cassava sieviate dried fermented ground,17.2,12,11,7,290
60,cassava sieviate dried ground,17.2,12,11,7,290
61,cassava starch residue dried fermented ground,NA,NA,NA,NA,NA
62,cassava tuber dried grated fermented peeled,NA,38.9,15.7,4.4,NA
63,cassava waste,16.736,68.1,55,9.3,NA
64,cassava waste dried fermented,NA,93.3,192.6,NA,NA
65,catha edulis residue ensiled,NA,NA,123,NA,319
66,centrosema pubescens dried ground,NA,NA,NA,NA,NA
67,ceratonia siliqua ground,NA,NA,NA,NA,NA
68,cgs silage ensiled,NA,NA,NA,NA,NA
69,chamaecytisus palmensis dried,NA,112,202,NA,343
70,chamomile flower by product,17.619,120.8,128.5,35.7,NA
71,chicken ground,19.6,135.625,605.8,NA,NA
72,chromium oxide,NA,NA,NA,NA,NA
73,chromolaena odorata leaves dried ground,NA,NA,NA,NA,NA
74,citrus aurantifolia dried ground,NA,NA,NA,NA,NA
75,clove basil leaves extract dried ethanol treated ground,NA,NA,NA,NA,NA
