"","B.Code","A","B","Practice","Subpractice","Diet_A","Diet_B"
"1","0","cfm (10)","cfm (20)","Diet shift","High-starch → High-fat","High-starch","High-fat"
"2","0","cfm (10)","cfm (5)","No change","","High-starch","High-starch"
"3","0","cfm (10)","cfm without msk","No change","","High-starch","High-starch"
"4","0","cfm (20)","cfm (5)","Diet shift","High-fat → High-starch","High-fat","High-starch"
"5","0","cfm (20)","cfm without msk","Diet shift","High-fat → High-starch","High-fat","High-starch"
"6","0","cfm (5)","cfm without msk","No change","","High-starch","High-starch"
"7","AG0018","bsm","llm","Diet shift","High-starch → Good forage","High-starch","Good forage"
"8","AG0018","bsm","mfm","Diet shift","High-starch → Good forage","High-starch","Good forage"
"9","AG0018","bsm","np","Diet shift","High-starch → Poor forage","High-starch","Poor forage"
"10","AG0018","bsm","uts","Diet shift","High-starch → Poor forage","High-starch","Poor forage"
"11","AG0018","llm","mfm","No change","","Good forage","Good forage"
"12","AG0018","llm","np","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"13","AG0018","llm","uts","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"14","AG0018","mfm","np","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"15","AG0018","mfm","uts","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"16","AG0018","np","uts","No change","","Poor forage","Poor forage"
"17","AG0042","60% f sopm","60% uf sopm","No change","","High-starch","High-starch"
"18","AG0042","60% f sopm","con","Diet shift","High-starch → Good forage","High-starch","Good forage"
"19","AG0042","60% uf sopm","con","Diet shift","High-starch → Good forage","High-starch","Good forage"
"20","AG0050","cpl","control","Diet shift","Good forage → Protein","Good forage","Protein"
"21","AG0050","cpl","csh","Diet shift","Good forage → Protein","Good forage","Protein"
"22","AG0050","cpl","cst","Diet shift","Good forage → High-starch","Good forage","High-starch"
"23","AG0050","cpl","ctb","Diet shift","Good forage → Protein","Good forage","Protein"
"24","AG0050","csh","control","No change","","Protein","Protein"
"25","AG0050","csh","cst","Diet shift","Protein → High-starch","Protein","High-starch"
"26","AG0050","csh","ctb","No change","","Protein","Protein"
"27","AG0050","cst","control","Diet shift","High-starch → Protein","High-starch","Protein"
"28","AG0050","cst","ctb","Diet shift","High-starch → Protein","High-starch","Protein"
"29","AG0050","ctb","control","No change","","Protein","Protein"
"30","AG0051","ng","ngd","No change","","Good forage","Good forage"
"31","AG0051","ng","pg","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"32","AG0051","ng","pgd","No change","","Good forage","Good forage"
"33","AG0051","ngd","pg","Diet shift","Good forage → Poor forage","Good forage","Poor forage"
"34","AG0051","ngd","pgd","No change","","Good forage","Good forage"
"35","AG0051","pg","pgd","Diet shift","Poor forage → Good forage","Poor forage","Good forage"
"36","AG0087","control","direct boiling df 1.5%","No change","","High-starch","High-starch"
"37","AG0087","control","direct boiling df 3.5%","No change","","High-starch","High-starch"
"38","AG0087","control","direct boiling df 5%","No change","","High-starch","High-starch"
"39","AG0087","control","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"40","AG0087","control","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"41","AG0087","control","indirect boiling df 5%","No change","","High-starch","High-starch"
"42","AG0087","control","roasted df 1.5%","No change","","High-starch","High-starch"
"43","AG0087","control","roasted df 3.5%","No change","","High-starch","High-starch"
"44","AG0087","control","roasted df 5%","No change","","High-starch","High-starch"
"45","AG0087","control","sun dried df 1.5%","No change","","High-starch","High-starch"
"46","AG0087","control","sun dried df 3.5%","No change","","High-starch","High-starch"
"47","AG0087","control","sun dried df 5%","No change","","High-starch","High-starch"
"48","AG0087","direct boiling df 1.5%","direct boiling df 3.5%","No change","","High-starch","High-starch"
"49","AG0087","direct boiling df 1.5%","direct boiling df 5%","No change","","High-starch","High-starch"
"50","AG0087","direct boiling df 1.5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"51","AG0087","direct boiling df 1.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"52","AG0087","direct boiling df 1.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"53","AG0087","direct boiling df 1.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"54","AG0087","direct boiling df 1.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"55","AG0087","direct boiling df 1.5%","roasted df 5%","No change","","High-starch","High-starch"
"56","AG0087","direct boiling df 1.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"57","AG0087","direct boiling df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"58","AG0087","direct boiling df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"59","AG0087","direct boiling df 3.5%","direct boiling df 5%","No change","","High-starch","High-starch"
"60","AG0087","direct boiling df 3.5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"61","AG0087","direct boiling df 3.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"62","AG0087","direct boiling df 3.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"63","AG0087","direct boiling df 3.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"64","AG0087","direct boiling df 3.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"65","AG0087","direct boiling df 3.5%","roasted df 5%","No change","","High-starch","High-starch"
"66","AG0087","direct boiling df 3.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"67","AG0087","direct boiling df 3.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"68","AG0087","direct boiling df 3.5%","sun dried df 5%","No change","","High-starch","High-starch"
"69","AG0087","direct boiling df 5%","indirect boiling df 1.5%","No change","","High-starch","High-starch"
"70","AG0087","direct boiling df 5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"71","AG0087","direct boiling df 5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"72","AG0087","direct boiling df 5%","roasted df 1.5%","No change","","High-starch","High-starch"
"73","AG0087","direct boiling df 5%","roasted df 3.5%","No change","","High-starch","High-starch"
"74","AG0087","direct boiling df 5%","roasted df 5%","No change","","High-starch","High-starch"
"75","AG0087","direct boiling df 5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"76","AG0087","direct boiling df 5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"77","AG0087","direct boiling df 5%","sun dried df 5%","No change","","High-starch","High-starch"
"78","AG0087","indirect boiling df 1.5%","indirect boiling df 3.5%","No change","","High-starch","High-starch"
"79","AG0087","indirect boiling df 1.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
"80","AG0087","indirect boiling df 1.5%","roasted df 1.5%","No change","","High-starch","High-starch"
"81","AG0087","indirect boiling df 1.5%","roasted df 3.5%","No change","","High-starch","High-starch"
"82","AG0087","indirect boiling df 1.5%","roasted df 5%","No change","","High-starch","High-starch"
"83","AG0087","indirect boiling df 1.5%","sun dried df 1.5%","No change","","High-starch","High-starch"
"84","AG0087","indirect boiling df 1.5%","sun dried df 3.5%","No change","","High-starch","High-starch"
"85","AG0087","indirect boiling df 1.5%","sun dried df 5%","No change","","High-starch","High-starch"
"86","AG0087","indirect boiling df 3.5%","indirect boiling df 5%","No change","","High-starch","High-starch"
