"","B.Code","pair_type","A","B","Practice","Subpractice","Magnitude_pct","POS_sum","NEG_sum","added_n","removed_n","Types_added","Types_decreased","Substitution_pairs"
"1","0","trt_vs_trt","CFM (10)","CFM (20)","Substitution","Good forage → High-fat",20,10,10,0,0,"","","Good forage → High-fat"
"2","0","trt_vs_trt","CFM (10)","CFM (5)","Substitution","High-fat → Good forage",12,6,6,0,0,"","","High-fat → Good forage"
"3","0","trt_vs_trt","CFM (20)","CFM (5)","Substitution","High-fat → Good forage",32,16,16,0,0,"","","High-fat → Good forage"
"4","0",NA,"CFM without MSK","CFM (10)","Addition","High-fat",24,12,12,0,1,"High-fat","",""
"5","0",NA,"CFM without MSK","CFM (20)","Addition","High-fat",44,22,22,0,1,"High-fat","",""
"6","0",NA,"CFM without MSK","CFM (5)","Addition","High-fat",12,6,6,0,1,"High-fat","",""
"7","AG0018","trt_vs_ctrl","NP","UTS","Addition","Unclassified",191.780821917808,95.8904109589041,95.8904109589041,1,0,"Unclassified","",""
"8","AG0018","trt_vs_trt","BSM","LLM","Substitution","High-starch → Good forage",191.780821917808,95.8904109589041,95.8904109589041,1,1,"Good forage","High-starch","High-starch → Good forage"
"9","AG0018","trt_vs_trt","BSM","MFM","Substitution","High-starch → Good forage, Poor forage, Unclassified",191.780821917808,95.8904109589041,95.8904109589041,3,1,"Good forage, Poor forage, Unclassified","High-starch","High-starch → Good forage, Poor forage, Unclassified"
"10","AG0018","trt_vs_trt","BSM","UTS","Substitution","High-starch → Unclassified",191.780821917808,95.8904109589041,95.8904109589041,1,1,"Unclassified","High-starch","High-starch → Unclassified"
"11","AG0018","trt_vs_trt","LLM","MFM","Addition","Poor forage, Unclassified",190.260952210968,95.1304761054839,95.1304761054839,2,0,"Poor forage, Unclassified","",""
"12","AG0018","trt_vs_trt","LLM","UTS","Substitution","Good forage → Unclassified",191.780821917808,95.8904109589041,95.8904109589041,1,1,"Unclassified","Good forage","Good forage → Unclassified"
"13","AG0018",NA,"NP","BSM","Addition","High-starch",191.780821917808,95.8904109589041,95.8904109589041,0,1,"High-starch","",""
"14","AG0018",NA,"NP","LLM","Addition","Good forage",191.780821917808,95.8904109589041,95.8904109589041,0,1,"Good forage","",""
"15","AG0018",NA,"NP","MFM","Addition","Good forage, Poor forage, Unclassified",4.5602605863192,2.28013029315961,2.28013029315959,0,3,"Good forage, Poor forage, Unclassified","",""
"16","AG0018",NA,"UTS","MFM","Addition","Good forage, Poor forage",190.26030074517,95.1301503725849,95.1301503725849,0,2,"Good forage, Poor forage","",""
