"","B.Code","A.Level.Name","D.Unit.Amount","Total_Amount"
"1","AG0042","60% F SOPM","g",312.5
"2","AG0042","60% UF SOPM","g",297.7
"3","AG0042","Con","g",312.4
"4","AG0051","NG","g",8300
"5","AG0051","NGD","g",8200
"6","AG0051","PG","g",9100
"7","AG0051","PGD","g",9200
"8","AN0007","T1","g",330.1
"9","AN0007","T2","g",329.82
"10","AN0007","T3","g",347.47
"11","AN0007","T4","g",346.9
"12","AN0007","T5","g",347.84
"13","AN0020","Control T1","g",50.3360714285714
"14","AN0020","T2","g",48.4342857142857
"15","AN0020","T3","g",49.0296428571429
"16","AN0021","U0","g",853
"17","AN0021","U10","g",858.58
"18","AN0021","U15","g",949.88
"19","AN0021","U20","g",938.04
"20","AN0057","0 PPL","g",411
"21","AN0057","150 PPL","g",513
"22","AN0057","300 PPL","g",639
"23","AN0057","450 PPL","g",763
"24","B01063","Control Diet","g",4.78928571428572
"25","B01063","PEG0","g",4.66071428571429
"26","B01063","PEG100","g",4.58464285714286
"27","B01063","PEG25","g",4.925
"28","B01063","PEG50","g",4.91071428571429
"29","B01063","PEG75","g",4.75357142857143
"30","BO1000","Diet 1","g",668.27
"31","BO1000","Diet 2","g",700.48
"32","BO1000","Diet 3","g",746.78
"33","BO1000","Diet 4","g",774.27
"34","BO1000","Diet 5","g",829.82
"35","BO1001","Diet 1","g",696
"36","BO1001","Diet 2","g",791.33
"37","BO1001","Diet 3","g",840.56
"38","BO1001","Diet 4","g",931.41
"39","BO1001","Diet 5","g",1015.72
"40","BO1002","Control","g",1181
"41","BO1002","MA20","g",1167
"42","BO1002","MA40","g",1172
"43","BO1005","OSCM","g",865
"44","BO1005","TMRL","g",885
"45","BO1006","Ration 1","g",1156.2
"46","BO1006","Ration 2","g",1330.8
"47","BO1006","Ration 3","g",1100.65
"48","BO1007","HAK10","g",264
"49","BO1007","HAK15","g",337
"50","BO1007","HAK20","g",370
"51","BO1007","HAK30","g",288
"52","BO1008","Control","g",1580
"53","BO1008","G1","g",1550
"54","BO1008","G2","g",1570
"55","BO1009","Diet 1","g",408
"56","BO1009","Diet 2","g",423
"57","BO1009","Diet 3","g",409
"58","BO1009","Diet 4","g",446
"59","BO1010","A. dilbata","g",290.4
"60","BO1010","A. mearnsii","g",288.6
"61","BO1010","Protein supplement","g",318.9
"62","BO1010","Rangeland hay Control","g",274.4
"63","BO1011","Control","g",675
"64","BO1011","Diet 1","g",675
"65","BO1011","Diet 2","g",675
"66","BO1011","Diet 3","g",650
"67","BO1012","DLL0","g",332
"68","BO1012","DLL10","g",298
"69","BO1012","DLL15","g",282
"70","BO1012","DLL20","g",266
"71","BO1012","DLL5","g",316
"72","BO1013","Diet 1","g",442.44
"73","BO1013","Diet 2","g",786.07
"74","BO1013","Diet 3","g",797.38
"75","BO1013","Diet 4","g",907.64
"76","BO1014","Diet 1","g",1200
"77","BO1014","Diet 2","g",750
"78","BO1014","Diet 3","g",900
"79","BO1014","Diet 4","g",1000
"80","BO1014","Diet 5","g",1050
"81","BO1014","Diet 6","g",1100
"82","BO1014","Diet 7","g",1150
"83","BO1015","42% CFM +52% CS +6% SS (G3)","g",1623
"84","BO1015","42% CFM +52% CS +6% TSS (G5)","g",1617
"85","BO1015","46% CFM +51% CS +3% SS (G2)","g",1674
"86","BO1015","46% CFM +51% CS +3% TSS (G4)","g",1663.5
"87","BO1015","50% CFM +50% CS (G1)","g",1685
"88","BO1016","InHay +Cal","g",644
"89","BO1016","InHay +Cal +PEG","g",753
"90","BO1017","BRT1","g",101
"91","BO1017","BRT2","g",50.4
"92","BO1017","BRT3","g",35.2
"93","BO1017","BRT4","g",19.3
"94","BO1017","BT1","g",113
"95","BO1017","BT2","g",73.9
"96","BO1017","BT3","g",67.1
"97","BO1017","BT4","g",49.6
"98","BO1017","RT1","g",103
"99","BO1017","RT2","g",67
"100","BO1017","RT3","g",58.3
"101","BO1017","RT4","g",38.2
"102","BO1018","ASY +ve","g",1349
"103","BO1018","ASY -ve","g",928
"104","BO1018","BHY -ve","g",1437
"105","BO1018","BHY+ve","g",1419
"106","BO1018","FAY -ve","g",920
"107","BO1019","GLM0","g",350.49
"108","BO1019","GLM12","g",370.85
"109","BO1019","GLM24","g",357.44
"110","BO1019","GLM36","g",353.05
"111","BO1023","CGS diet","g",6030
"112","BO1023","HSB diet","g",13770
"113","BO1023","LSB diet","g",13660
"114","BO1024","Diet 0%","g",799.77
"115","BO1024","Diet 15%","g",783.04
"116","BO1024","Diet 30%","g",771.28
"117","BO1024","Diet 45%","g",650.09
"118","BO1025","100% (DVLM + DMLM)","g",228.1
"119","BO1025","100% concentrate mix","g",722.8
"120","BO1025","25% NSC + 75% (DVLM + DMLM)","g",294.1
"121","BO1025","50% NSC + 50% (DVLM + DMLM)","g",323.3
"122","BO1025","75% NSC + 25% (DVLM + DMLM)","g",325.9
"123","BO1026","Diet 1","g",441
"124","BO1026","Diet 2","g",481
"125","BO1026","Diet 3","g",493
"126","BO1026","Diet 4","g",473
"127","BO1026","Diet 5","g",437
"128","BO1027","EM treated RH","g",962.4
"129","BO1027","EM treated SCB","g",819
"130","BO1027","Tv treated RH","g",1051.9
"131","BO1027","Tv treated SCB","g",661.9
"132","BO1027","Untreated RH","g",942
"133","BO1027","Untreated SCB","g",554.7
"134","BO1028","UMB + UTTS + concentrate","g",10580
"135","BO1028","UTS + concentrate","g",10180
"136","BO1028","UTTS + concentrate","g",10100
"137","BO1029","T0 (100 CH)","g",909.1
"138","BO1029","T1 (50CH:50DBV)","g",909.8
"139","BO1029","T2 (25CH:75DBV)","g",910.2
"140","BO1029","T3 (100DBV)","g",910.6
"141","BO1030","(R + SPVS)","g",3224.85267368926
"142","BO1030","(R + UMB)","g",2834.47577108477
"143","BO1030","Roughage Only","g",3008.4480863759
"144","BO1031","Diet 1","g",839
"145","BO1031","Diet 2","g",548
"146","BO1031","Diet 3","g",539
"147","BO1031","Diet 4","g",551
"148","BO1031","Diet 5","g",566
"149","BO1032","NSM0","g",1640
"150","BO1032","NSM100","g",1610
"151","BO1032","NSM50","g",1620
"152","BO1032","NSM75","g",1650
"153","BO1033","Melon seed husk 10","g",10060
"154","BO1033","Melon seed husk 20","g",9800
"155","BO1033","Melon seed husk 5","g",10160
"156","BO1033","Melon seek husk 0","g",10130
"157","BO1034","Diet 1 (0 kenaf)","g",538.96
"158","BO1034","Diet 2 (15 kenaf)","g",610.21
"159","BO1034","Diet 3 (20 kenaf)","g",634
"160","BO1034","Diet 4 (25 kenaf)","g",662.82
"161","BO1035","Bermuda Diet","g",716
"162","BO1035","Elephant Diet","g",700
"163","BO1035","Guinea Diet","g",719
"164","BO1035","Rhodes Diet","g",696
"165","BO1037","0% cabbage carrot waste","g",305.89
"166","BO1037","10% cabbage waste","g",299.76
"167","BO1037","10% carrot waste","g",325.92
"168","BO1037","5% carrot 5% cabbage waste","g",310.58
"169","BO1038","0% treated rice offal","g",9510
"170","BO1038","10% treated rice offal","g",9990
"171","BO1038","15% treated rice ofall","g",9300
"172","BO1038","5% treated rice offal","g",9590
"173","BO1039","400 g B.balcooa","g",469
"174","BO1039","400 g O. abyssinica","g",456
"175","BO1039","600 g B.balcooa","g",415
"176","BO1039","600 g O. abyssinica","g",443
"177","BO1039","Control diet","g",398
"178","BO1040","Control group","g",9610
"179","BO1040","R-SAF","g",10030
"180","BO1040","R-SUN","g",10180
"181","BO1042","0% cashew nut shell","g",261.61
"182","BO1042","10% cashew nut shell","g",258.99
"183","BO1042","15% cashew nut shell","g",243.47
"184","BO1042","20% cashew nut shell","g",216.75
"185","BO1043","T1 0 SCPM 100 CPM","g",349.77
"186","BO1043","T2 25 SCPM 75 CPM","g",280.74
"187","BO1043","T3 50 SCPM 50 CPM","g",338.19
"188","BO1043","T4 75 SCPM 25 CPM","g",310.94
"189","BO1044","T1 (GG100%)","g",480.75
"190","BO1044","T2 (GG80% + CSP10% + SBCW10%)","g",499
"191","BO1044","T3 (GG60% + CSP30% + SBCW10%)","g",567.75
"192","BO1044","T4 (GG40% + CSP50% + SBCW10%)","g",628.25
