"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"1","diet","AG0018","bsm",110,NA,NA,NA,NA,NA
"2","diet","AG0018","llm",217,332,81,NA,NA,NA
"3","diet","AG0042","60% f sopm",142.1,NA,57.7,34.6,NA,NA
"4","diet","AG0042","60% uf sopm",139.3,NA,54.6,34.2,NA,NA
"5","diet","AG0042","con",136.2,NA,52.2,33.8,NA,NA
"6","diet","AG0050","cpl",291.5,NA,94.9,NA,NA,NA
"7","diet","AG0050","csh",293.4,NA,103.3,NA,NA,NA
"8","diet","AG0050","cst",290.6,NA,94.6,NA,NA,NA
"9","diet","AG0050","ctb",294.2,NA,106.4,NA,NA,NA
"10","diet","AG0050","control",291.5,NA,88.3,NA,NA,NA
"11","diet","AG0051","pg",157.9,329.3,NA,NA,NA,NA
"12","diet","AG0087","control",166.4,NA,NA,NA,NA,NA
"13","diet","AG0087","direct boiling df 1.5%",174,NA,NA,NA,NA,NA
"14","diet","AG0087","direct boiling df 3.5%",172.2,NA,NA,NA,NA,NA
"15","diet","AG0087","direct boiling df 5%",168.9,NA,NA,NA,NA,NA
"16","diet","AG0087","indirect boiling df 1.5%",174.4,NA,NA,NA,NA,NA
"17","diet","AG0087","indirect boiling df 3.5%",171.8,NA,NA,NA,NA,NA
"18","diet","AG0087","indirect boiling df 5%",168.8,NA,NA,NA,NA,NA
"19","diet","AG0087","roasted df 1.5%",175.6,NA,NA,NA,NA,NA
"20","diet","AG0087","roasted df 3.5%",172.8,NA,NA,NA,NA,NA
"21","diet","AG0087","roasted df 5%",169.17,NA,NA,NA,NA,NA
"22","diet","AG0087","sun dried df 1.5%",174.4,NA,NA,NA,NA,NA
"23","diet","AG0087","sun dried df 3.5%",172,NA,NA,NA,NA,NA
"24","diet","AG0087","sun dried df 5%",168.8,NA,NA,NA,NA,NA
"25","diet","AN0007","t1",128,NA,42,30,NA,NA
"26","diet","AN0007","t2",132,NA,52,32,NA,NA
"27","diet","AN0007","t3",136,NA,60,36,NA,NA
"28","diet","AN0007","t4",142,NA,66,39,NA,NA
"29","diet","AN0007","t5",150,NA,75,45,NA,NA
"30","diet","AN0027","control pds",185.1,342.3,85.6,32.5,NA,NA
"31","diet","AN0029","t2 1.5%",259.6,NA,38.4,NA,20.3852848,NA
"32","diet","AN0029","t3 2.5%",259.6,NA,38.4,NA,20.3852848,NA
"33","diet","AN0058","pjp 30",229.7,NA,82.5,70.6,NA,NA
"34","diet","EO0027","cbs",281,NA,154,NA,14.7,NA
"35","diet","EO0027","coc",281,NA,129,NA,13.9,NA
"36","diet","EO0027","reference diet",284,NA,99.9,NA,15.1,NA
"37","diet","EO0047","pp0-0%",NA,NA,NA,NA,NA,NA
"38","diet","EO0047","pp10-10%",NA,NA,NA,NA,NA,NA
"39","diet","EO0047","pp20-20%",NA,NA,NA,NA,NA,NA
"40","diet","EO0047","pp30-30%",NA,NA,NA,NA,NA,NA
"41","diet","EO0057","t1",185,NA,NA,NA,NA,NA
"42","diet","EO0057","t2",185,NA,NA,NA,NA,NA
"43","diet","EO0078","0% pjp",169,NA,67,49.3,NA,NA
"44","diet","EO0078","10%pjp",155.1,NA,NA,45.7,NA,NA
"45","diet","EO0078","20%pjp",150.9,NA,57.6,42.8,NA,NA
"46","diet","EO0078","30%pjp",160.1,NA,51.2,40.4,NA,NA
"47","diet","EO0078","40%pjp",157.2,NA,49,39,NA,NA
"48","diet","HK0006","d1 no f.polita",79,NA,NA,NA,NA,NA
"49","diet","HK0006","d2 30 f.polita",114.1,NA,NA,NA,NA,NA
"50","diet","HK0006","d3 60 f.polita",149.2,NA,NA,NA,NA,NA
"51","diet","HK0006","d4 90 f.polita",184.3,NA,NA,NA,NA,NA
"52","diet","HK0007","con",169.2,NA,NA,NA,NA,NA
"53","diet","HK0007","hwm1",168.2,NA,NA,NA,NA,NA
"54","diet","HK0007","hwm2",166.2,NA,NA,NA,NA,NA
"55","diet","HK0007","hwm3",162.4,NA,NA,NA,NA,NA
"56","diet","HK0008","0% leucaena goat",108,NA,NA,NA,NA,NA
"57","diet","HK0008","0% leucaena sheep",108,NA,NA,NA,NA,NA
"58","diet","HK0008","20% leucaena goat",139,NA,NA,NA,NA,NA
"59","diet","HK0008","20% leucaena sheep",139,NA,NA,NA,NA,NA
"60","diet","HK0008","40% leucaena goat",181,NA,NA,NA,NA,NA
"61","diet","HK0008","40% leucaena sheep",181,NA,NA,NA,NA,NA
"62","diet","HK0008","60% leucaena goat",227,NA,NA,NA,NA,NA
"63","diet","HK0008","60% leucaena sheep",227,NA,NA,NA,NA,NA
"64","diet","HK0008","80% leucaena goat",263,NA,NA,NA,NA,NA
"65","diet","HK0008","80% leucaena sheep",263,NA,NA,NA,NA,NA
"66","diet","HK0011","cw",54.1,NA,66.8,7.8,16.81968,NA
"67","diet","HK0011","cw:dsbg",181.2,NA,61.8,39.4,18.28408,NA
"68","diet","HK0011","dsbg",332,NA,53.9,62.2,19.874,NA
"69","diet","HK0014","d1 no macuna bundle 1",371,NA,NA,NA,12.3168592,NA
"70","diet","HK0014","d2 5% treated macuna bundle 1",369.1,NA,NA,NA,12.1285792,NA
"71","diet","HK0014","d2 5% treated macuna bundle 2",369.1,NA,NA,NA,12.1285792,NA
"72","diet","HK0014","d3 5% raw macuna bundle 1",365.3,NA,NA,NA,11.9235632,NA
"73","diet","HK0014","d3 5% raw macuna bundle 2",365.3,NA,NA,NA,11.9235632,NA
"74","diet","HK0014","d4 10% treated macuna bundle 1",366.8,NA,NA,NA,11.9114296,NA
"75","diet","HK0014","d5 15% treated macuna bundle 1",369,NA,NA,NA,11.4972136,NA
"76","diet","HK0026","diet 1",NA,NA,NA,NA,NA,NA
"77","diet","HK0026","diet 2",NA,NA,NA,NA,NA,NA
"78","diet","HK0026","diet 3",NA,NA,NA,NA,NA,NA
"79","diet","HK0026","diet 4",NA,NA,NA,NA,NA,NA
"80","diet","HK0026","diet 5",NA,NA,NA,NA,NA,NA
"81","diet","HK0028","msp con",176,NA,109,NA,17.37841136,NA
"82","diet","HK0028","msp1",174,NA,102,NA,17.00327392,NA
"83","diet","HK0028","msp2",165.8,NA,122,NA,16.4648768,NA
"84","diet","HK0029","diet a (no cassava peals)",156,NA,103,36,0.014644,NA
"85","diet","HK0029","diet b 50",159,NA,129,33,0.014644,NA
"86","diet","HK0029","diet c 100",156,NA,142,28,0.0133888,NA
"87","diet","HK0033","0% brewer's grain",108,NA,52.5,40.5,NA,NA
"88","diet","HK0033","15% brewer's grain",172,NA,50.6,43.4,NA,NA
"89","diet","HK0033","30% brewer's grain",151.5,NA,47.9,46.4,NA,NA
"90","diet","HK0033","45% brewer's grain",173.3,NA,45.6,49.3,NA,NA
"91","diet","HK0033","60% brewer's grain",195,NA,43.2,52.2,NA,NA
