"","B.Code","A.Level.Name","Out.WG.Start","Out.WG.Unit"
"1","0","CFM (10)",53,"kg"
"2","0","CFM (20)",53,"kg"
"3","0","CFM (5)",53,"kg"
"4","0","CFM without MSK",53,"kg"
"5","AG0015","Floating feed",0.015,"kg"
"6","AG0015","Sinking feed",0.015,"kg"
"7","AG0018","BSM",295.566666666667,"kg"
"8","AG0018","LLM",287.833333333333,"kg"
"9","AG0018","MFM",279.933333333333,"kg"
"10","AG0018","NP",260.233333333333,"kg"
"11","AG0018","UTS",266.433333333333,"kg"
"12","AG0042","60% F SOPM",9.72,"kg"
"13","AG0042","60% UF SOPM",9.25,"kg"
"14","AG0042","Con",9.83,"kg"
"15","AG0050","CPL",0.00686,"kg"
"16","AG0050","CSH",0.00687,"kg"
"17","AG0050","CST",0.00688,"kg"
"18","AG0050","CTB",0.00688,"kg"
"19","AG0050","Control",0.00699,"kg"
"20","AG0087","Control",1.23464,"kg"
"21","AG0087","Direct boiling DF 1.5%",1.1635,"kg"
"22","AG0087","Direct boiling DF 3.5%",1.1791,"kg"
"23","AG0087","Direct boiling DF 5%",1.17054,"kg"
"24","AG0087","Indirect boiling DF 1.5%",1.16592,"kg"
"25","AG0087","Indirect boiling DF 3.5%",1.15016,"kg"
"26","AG0087","Indirect boiling DF 5%",1.16361,"kg"
"27","AG0087","Roasted DF 1.5%",1.26373,"kg"
"28","AG0087","Roasted DF 3.5%",1.27739,"kg"
"29","AG0087","Roasted DF 5%",1.28111,"kg"
"30","AG0087","Sun dried DF 1.5%",1.20602,"kg"
"31","AG0087","Sun dried DF 3.5%",1.22917,"kg"
"32","AG0087","Sun dried DF 5%",1.29212,"kg"
"33","AN0007","T1",12.8,"kg"
"34","AN0007","T2",13,"kg"
"35","AN0007","T3",13.2,"kg"
"36","AN0007","T4",12.6,"kg"
"37","AN0007","T5",13.2,"kg"
"38","AN0020","Control T1",0.0471,"kg"
"39","AN0020","T2",0.04698,"kg"
"40","AN0020","T3",0.05,"kg"
"41","AN0021","U0",10.24,"kg"
"42","AN0021","U10",11.1,"kg"
"43","AN0021","U15",10.1,"kg"
"44","AN0021","U20",9.8,"kg"
"45","AN0029","T1 Control",8.75,"kg"
"46","AN0029","T2 1.5%",10.75,"kg"
"47","AN0029","T3 2.5%",12,"kg"
"48","AN0057","0 PPL",15.4,"kg"
