"","B.Code","A.Level.Name","Out.Code.Joined","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","Out.Unit","Out.WG.Start","Out.WG.Unit","P.Product","is_entire_diet","is_group","T.Animals","T.Name","Country","Source","D.Item.Root.Comp.Proc_Major","ED.Intake.Item.is_entire_diet","n_ing","n_tar"
"1","AG0015","Floating feed","Meat Yield..g/individual..15","New+float",NA,0.2873464,NA,"Meat Yield","kg/individual/day",15,"g","Fish",FALSE,FALSE,"1","New+float","Ghana","livestock",NA,NA,NA,NA
"2","AG0015","Sinking feed","Meat Yield..g/individual..15","Old+sink",NA,0.1652334,NA,"Meat Yield","kg/individual/day",15,"g","Fish",FALSE,FALSE,"1","Old+sink","Ghana","livestock",NA,NA,NA,NA
"3","AG0018","BSM","Meat Yield..kg/individual..328.7","BSM",NA,388.2,13.9,"Meat Yield","kg/individual/day",328.7,"kg","Cattle",FALSE,FALSE,"6","BSM","Zimbabwe","livestock",NA,NA,NA,NA
"4","AG0018","LLM","Meat Yield..kg/individual..304.2","LLM",NA,358.3,9.3,"Meat Yield","kg/individual/day",304.2,"kg","Cattle",FALSE,FALSE,"6","LLM","Zimbabwe","livestock",NA,NA,NA,NA
"5","AG0018","MFM","Meat Yield..kg/individual..301","MFM",NA,340.8,13.9,"Meat Yield","kg/individual/day",301,"kg","Cattle",FALSE,FALSE,"6","MFM","Zimbabwe","livestock",NA,NA,NA,NA
"6","AG0018","NP","Meat Yield..kg/individual..243.2","NP",NA,286.3,10.5,"Meat Yield","kg/individual/day",243.2,"kg","Cattle",FALSE,FALSE,"6","NP","Zimbabwe","livestock",NA,NA,NA,NA
"7","AG0018","UTS","Meat Yield..kg/individual..286","UTS",NA,331.3,9.3,"Meat Yield","kg/individual/day",286,"kg","Cattle",FALSE,FALSE,"6","UTS","Zimbabwe","livestock",NA,NA,NA,NA
"8","AG0042","60% F SOPM","Meat Yield..kg/individual..9.72","60% F SOPM",NA,10.53,1.35,"Meat Yield","kg/individual/day",9.72,"kg","Goat",FALSE,FALSE,"1","60% F SOPM","Nigeria","livestock",NA,NA,NA,NA
"9","AG0042","60% UF SOPM","Meat Yield..kg/individual..9.25","60% UF SOPM",NA,10.2,1.35,"Meat Yield","kg/individual/day",9.25,"kg","Goat",FALSE,FALSE,"1","60% UF SOPM","Nigeria","livestock",NA,NA,NA,NA
"10","AG0042","Con","Meat Yield..kg/individual..9.83","Con",NA,11.17,1.35,"Meat Yield","kg/individual/day",9.83,"kg","Goat",FALSE,FALSE,"1","Con","Nigeria","livestock",NA,NA,NA,NA
"11","AG0087","Control","Meat Yield..g/individual..1234.64","Control",NA,1.34507,2.435,"Meat Yield","kg/individual/day",1234.64,"g","Chicken",FALSE,FALSE,"10","Control","Sudan","livestock",NA,NA,NA,NA
"12","AG0087","Direct boiling DF 1.5%","Meat Yield..g/individual..1163.5","Direct boiling DF 1.5%",NA,1.24624,2.435,"Meat Yield","kg/individual/day",1163.5,"g","Chicken",FALSE,FALSE,"10","Direct boiling DF 1.5%","Sudan","livestock",NA,NA,NA,NA
"13","AG0087","Direct boiling DF 3.5%","Meat Yield..g/individual..1179.1","Direct boiling DF 3.5%",NA,1.26733,2.435,"Meat Yield","kg/individual/day",1179.1,"g","Chicken",FALSE,FALSE,"10","Direct boiling DF 3.5%","Sudan","livestock",NA,NA,NA,NA
