"","B.Code","A.Level.Name","GE_MJ_kg","GEI_MJ_d","GE_source","P.Product","Purpose","any_na","total_diet","total_forage_strict","total_forage_broad","n_ingredients","D.Type.first","forage_prop_strict","forage_prop_broad","forage_prop","BW_kg","DE_MJ_kg","ME_MJ_kg","DEI_MJ_d","MEI_MJ_d","For_percent","DMI_kg_d","DMI_source","eq_dairy_niu_DMI_C","eq_beef_DMI_C_HF","eq_beef_Animal_C_HF","eq_beef_DMI_C_LF","eq_beef_Animal_C_INT","eq_beef_Diet_C_INT","eq_sheep_GEI_linear","eq_sheep_MEI_nonlinear","eq_goat_GEI_linear","eq_goat_DEI_linear","eq_goat_MEI_nonlinear","CH4_dairy_niu","CH4_beef_Animal_C_HF","CH4_beef_DMI_C_HF","CH4_beef_Animal_C_INT","CH4_beef_Diet_C_INT","CH4_beef_DMI_C_LF","EME_sheep_linear","CH4_sheep_linear","EME_sheep_nonlinear","CH4_sheep_nonlinear","EME_goat_linear","CH4_goat_linear","EME_goat_DEI","CH4_goat_DEI","EME_goat_nonlinear","CH4_goat_nonlinear","CH4_g_d","CH4_equation_used","beef_forage_category","CH4_kg_yr","X","Out.Code.Joined","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","Out.Unit","Out.WG.Start","Out.WG.Unit","is_entire_diet","is_group","T.Animals","T.Name","Country","Source","D.Item.Root.Comp.Proc_Major","ED.Intake.Item.is_entire_diet","n_ing","n_tar","Out.Unit_raw","Product","facet"
"1","AG0042","60% F SOPM",18.14399968,5.6699999,"diet_level","Goat","Meat",FALSE,0.2,0,0,6,"Crop Byproduct",0,0,0,9.72,NA,NA,NA,NA,0,0.3125,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45381099667,8.15473489074573,NA,NA,NA,NA,8.15473489074573,"Goat_GEI_linear",NA,2.97647823512219,8,"Meat Yield..kg/individual..9.72","60% F SOPM",NA,10.53,1.35,"Meat Yield","kg/individual/day",9.72,"kg",FALSE,FALSE,"1","60% F SOPM","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Goat – Meat"
"2","AG0042","60% UF SOPM",18.17337136,5.410212653872,"diet_level","Goat","Meat",FALSE,0.2,0,0,6,"Other Feed",0,0,0,9.25,NA,NA,NA,NA,0,0.2977,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445160081373938,7.99928268416779,NA,NA,NA,NA,7.99928268416779,"Goat_GEI_linear",NA,2.91973817972124,9,"Meat Yield..kg/individual..9.25","60% UF SOPM",NA,10.2,1.35,"Meat Yield","kg/individual/day",9.25,"kg",FALSE,FALSE,"1","60% UF SOPM","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Goat – Meat"
"3","AG0042","Con",17.94712,5.606680288,"diet_level","Goat","Meat",FALSE,0.2,0,0,5,"Crop Byproduct",0,0,0,9.83,NA,NA,NA,NA,0,0.3124,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4517024535904,8.11684552723091,NA,NA,NA,NA,8.11684552723091,"Goat_GEI_linear",NA,2.96264861743928,10,"Meat Yield..kg/individual..9.83","Con",NA,11.17,1.35,"Meat Yield","kg/individual/day",9.83,"kg",FALSE,FALSE,"1","Con","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Goat – Meat"
"4","AG0051","NG",NA,NA,NA,"Cattle","Dairy",FALSE,8.3,8.3,8.3,1,"Herbaceous Fodders",1,1,1,NA,NA,NA,NA,NA,100,8.3,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,234.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.39,"Dairy_Niu_DMI_C",NA,85.55235,16,"Milk Yield..l/Iindividual/day","NG",NA,5.4,NA,"Milk Yield","l/individual/day",NA,NA,FALSE,FALSE,"10","NG","Rwanda","livestock",NA,NA,NA,NA,"l/d/individual","Milk","Cattle – Milk"
"5","AG0051","NGD",NA,NA,NA,"Cattle","Dairy",FALSE,8.2,8.2,8.2,2,"Herbaceous Fodders",1,1,1,NA,NA,NA,NA,NA,100,8.2,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,233.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.06,"Dairy_Niu_DMI_C",NA,85.0669,17,"Milk Yield..l/Iindividual/day","NGD",NA,7.1,NA,"Milk Yield","l/individual/day",NA,NA,FALSE,FALSE,"10","NGD","Rwanda","livestock",NA,NA,NA,NA,"l/d/individual","Milk","Cattle – Milk"
"6","AG0051","PG",NA,NA,NA,"Cattle","Dairy",FALSE,9.1,9.1,9.1,1,"Herbaceous Fodders",1,1,1,NA,NA,NA,NA,NA,100,9.1,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,245.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.03,"Dairy_Niu_DMI_C",NA,89.43595,18,"Milk Yield..l/Iindividual/day","PG",NA,8.1,NA,"Milk Yield","l/individual/day",NA,NA,FALSE,FALSE,"10","PG","Rwanda","livestock",NA,NA,NA,NA,"l/d/individual","Milk","Cattle – Milk"
"7","AG0051","PGD",NA,NA,NA,"Cattle","Dairy",FALSE,9.2,9.2,9.2,2,"Herbaceous Fodders",1,1,1,NA,NA,NA,NA,NA,100,9.2,"diet_level",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,246.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.36,"Dairy_Niu_DMI_C",NA,89.9214,19,"Milk Yield..l/Iindividual/day","PGD",NA,9,NA,"Milk Yield","l/individual/day",NA,NA,FALSE,FALSE,"10","PGD","Rwanda","livestock",NA,NA,NA,NA,"l/d/individual","Milk","Cattle – Milk"
"8","AN0007","T1",18.813356,6.2102888156,"diet_level","Sheep","Meat",FALSE,0.5906,0.2605,0.2605,7,"Crop Byproduct",0.441076870978666,0.441076870978666,0.441076870978666,12.8,NA,NA,NA,NA,44.1076870978666,0.3301,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.5123041519644,9.20582483314286,NA,NA,NA,NA,NA,NA,NA,NA,9.20582483314286,"Sheep_GEI_linear",NA,3.36012606409714,33,"Meat Yield..kg/individual..12.8","T1",NA,14.5,NA,"Meat Yield","kg/individual/day",12.8,"kg",FALSE,FALSE,"2","T1","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"9","AN0007","T2",18.1284352,5.979120497664,"diet_level","Sheep","Meat",FALSE,0.58614,0.289302,0.289302,8,"Crop Byproduct",0.493571501689016,0.493571501689016,0.493571501689016,13,NA,NA,NA,NA,49.3571501689016,0.32982,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.500976904385536,9.00228040225581,NA,NA,NA,NA,NA,NA,NA,NA,9.00228040225581,"Sheep_GEI_linear",NA,3.28583234682337,34,"Meat Yield..kg/individual..13","T2",NA,15,NA,"Meat Yield","kg/individual/day",13,"kg",FALSE,FALSE,"2","T2","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"10","AN0007","T3",18.0983104,6.288619914688,"diet_level","Sheep","Meat",FALSE,0.61414,0.336164,0.336164,8,"Crop Byproduct",0.547373563031231,0.547373563031231,0.547373563031231,13.2,NA,NA,NA,NA,54.7373563031231,0.34747,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.516142375819712,9.27479561221405,NA,NA,NA,NA,NA,NA,NA,NA,9.27479561221405,"Sheep_GEI_linear",NA,3.38530039845813,35,"Meat Yield..kg/individual..13.2","T3",NA,15.4,NA,"Meat Yield","kg/individual/day",13.2,"kg",FALSE,FALSE,"2","T3","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
"11","AN0007","T4",18.8317656,6.53273948664,"diet_level","Sheep","Meat",FALSE,0.6169,0.37407,0.37407,8,"Herbaceous Fodders",0.606370562489869,0.606370562489869,0.606370562489869,12.6,NA,NA,NA,NA,60.6370562489869,0.3469,"diet_level",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,0.52810423484536,9.4897436629894,NA,NA,NA,NA,NA,NA,NA,NA,9.4897436629894,"Sheep_GEI_linear",NA,3.46375643699113,36,"Meat Yield..kg/individual..12.6","T4",NA,14.6,NA,"Meat Yield","kg/individual/day",12.6,"kg",FALSE,FALSE,"2","T4","Nigeria","livestock",NA,NA,NA,NA,"kg/individual","Meat","Sheep – Meat"
