B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
AG0051,NG,0.0083,kg,day,individual,too_low_kg
AG0051,NGD,0.008199999999999999,kg,day,individual,too_low_kg
AG0051,PG,0.0091,kg,day,individual,too_low_kg
AG0051,PGD,0.0092,kg,day,individual,too_low_kg
AN0007,T1,0.0696,kg,day,individual,too_low_kg
AN0007,T2,0.0735,kg,day,individual,too_low_kg
AN0007,T3,0.0808,kg,day,individual,too_low_kg
AN0007,T4,0.07690000000000001,kg,day,individual,too_low_kg
AN0007,T5,0.08020000000000001,kg,day,individual,too_low_kg
AN0020,Control T1,0.050336071428571404,kg,day,individual,too_low_kg
AN0020,T2,0.0484342857142857,kg,day,individual,too_low_kg
AN0020,T3,0.049029642857142904,kg,day,individual,too_low_kg
B01063,Control Diet,0.00478928571428572,kg,day,individual,too_low_kg
B01063,PEG0,0.00466071428571429,kg,day,individual,too_low_kg
B01063,PEG100,0.00458464285714286,kg,day,individual,too_low_kg
B01063,PEG25,0.004925,kg,day,individual,too_low_kg
B01063,PEG50,0.00491071428571429,kg,day,individual,too_low_kg
B01063,PEG75,0.00475357142857143,kg,day,individual,too_low_kg
BO1012,DLL10,0.0338,kg,day,individual,too_low_kg
BO1012,DLL15,0.0508,kg,day,individual,too_low_kg
BO1012,DLL20,0.0677,kg,day,individual,too_low_kg
BO1012,DLL5,0.0169,kg,day,individual,too_low_kg
BO1015,42% CFM +52% CS +6% SS (G3),0.078,kg,day,individual,too_low_kg
BO1015,42% CFM +52% CS +6% TSS (G5),0.077,kg,day,individual,too_low_kg
BO1015,46% CFM +51% CS +3% SS (G2),0.039,kg,day,individual,too_low_kg
BO1015,46% CFM +51% CS +3% TSS (G4),0.0385,kg,day,individual,too_low_kg
BO1017,BRT2,0.0504,kg,day,individual,too_low_kg
BO1017,BRT3,0.0352,kg,day,individual,too_low_kg
BO1017,BRT4,0.0193,kg,day,individual,too_low_kg
BO1017,BT2,0.07390000000000001,kg,day,individual,too_low_kg
BO1017,BT3,0.06709999999999999,kg,day,individual,too_low_kg
BO1017,BT4,0.0496,kg,day,individual,too_low_kg
BO1017,RT2,0.067,kg,day,individual,too_low_kg
BO1017,RT3,0.0583,kg,day,individual,too_low_kg
BO1017,RT4,0.038200000000000005,kg,day,individual,too_low_kg
BO1030,(R + UMB),0.017,kg,day,individual,too_low_kg
BO1042,0% cashew nut shell,0.09154000000000001,kg,day,individual,too_low_kg
BO1042,10% cashew nut shell,0.08565,kg,day,individual,too_low_kg
BO1042,15% cashew nut shell,0.06737,kg,day,individual,too_low_kg
BO1042,20% cashew nut shell,0.044649999999999995,kg,day,individual,too_low_kg
BO1048,60:40 ratio,0.05719,kg,day,individual,too_low_kg
BO1048,70;30 ratio,0.05421,kg,day,individual,too_low_kg
BO1048,80:20 ratio,0.05018,kg,day,individual,too_low_kg
BO1048,90;10 ratio,0.04011,kg,day,individual,too_low_kg
BO1061,Mucuna meal 16% (RFM),0.07701000000000001,kg,day,individual,too_low_kg
BO1061,protein isolate meal 5% (RIM),0.07698,kg,day,individual,too_low_kg
BO1061,soybean meal 7% (RTS),0.07862999999999999,kg,day,individual,too_low_kg
BO1062,Control Diet,0.026121428571428598,kg,day,individual,too_low_kg
BO1062,ENZ0,0.0261321428571429,kg,day,individual,too_low_kg
BO1062,ENZ100,0.0256821428571429,kg,day,individual,too_low_kg
BO1062,ENZ25,0.0257321428571429,kg,day,individual,too_low_kg
BO1062,ENZ50,0.026350000000000002,kg,day,individual,too_low_kg
BO1062,ENZ75,0.0262392857142857,kg,day,individual,too_low_kg
BO1064,Des Diet,0.0207,kg,day,individual,too_low_kg
BO1064,Des Diet,0.0465,kg,day,individual,too_low_kg
BO1064,Des Diet,0.055200000000000006,kg,day,individual,too_low_kg
BO1064,Eup Diet,0.0613,kg,day,individual,too_low_kg
BO1064,Eup Diet,0.019899999999999998,kg,day,individual,too_low_kg
BO1064,Eup Diet,0.0272,kg,day,individual,too_low_kg
BO1064,Mor Diet,0.0123,kg,day,individual,too_low_kg
BO1064,Mor Diet,0.047,kg,day,individual,too_low_kg
BO1064,Mor Diet,0.0578,kg,day,individual,too_low_kg
BO1064,Pan Diet,0.034,kg,day,individual,too_low_kg
BO1064,Pan Diet,0.088,kg,day,individual,too_low_kg
BO1075,Diet 1,0.08879000000000001,kg,day,individual,too_low_kg
BO1075,Diet 2,0.08943999999999999,kg,day,individual,too_low_kg
BO1075,Diet 3,0.08122700000000001,kg,day,individual,too_low_kg
BO1075,Diet 4,0.08891299999999999,kg,day,individual,too_low_kg
BO1095,Control Post-partum,0.0869166666666667,kg,day,individual,too_low_kg
BO1095,Control Post-partum,0.0378333333333333,kg,day,individual,too_low_kg
BO1095,Control Post-partum,0.0233333333333333,kg,day,individual,too_low_kg
BO1095,Treatment Post-partum,0.0894166666666667,kg,day,individual,too_low_kg
BO1095,Treatment Post-partum,0.0413333333333333,kg,day,individual,too_low_kg
BO1095,Treatment Post-partum,0.024,kg,day,individual,too_low_kg
BO1099,0  Cashew Nut Shell,0.0897,kg,day,individual,too_low_kg
BO1099,10  Cashew Nut Shell,0.0897,kg,day,individual,too_low_kg
BO1099,15  Cashew Nut Shell,0.0814,kg,day,individual,too_low_kg
BO1099,20  Cashew Nut Shell,0.0847,kg,day,individual,too_low_kg
CJ1001,Zero Percent,0,kg,day,individual,too_low_kg
CJ1006,R3,0,kg,day,individual,too_low_kg
DK0037,MCC,0.00111,kg,day,individual,too_low_kg
DK0037,MCM,8.3e-4,kg,day,individual,too_low_kg
EM1000,Treatment1,0.09443,kg,day,individual,too_low_kg
EM1000,Treatment2,0.09129999999999999,kg,day,individual,too_low_kg
EM1000,Treatment3,0.07533,kg,day,individual,too_low_kg
EM1000,Treatment4,0.0824,kg,day,individual,too_low_kg
EM1049,Treatment T1,0,kg,day,individual,too_low_kg
EM1060,Treatment T1,0.08288,kg,day,individual,too_low_kg
EM1060,Treatment T2,0.07891,kg,day,individual,too_low_kg
EM1060,Treatment T3,0.0683,kg,day,individual,too_low_kg
EM1060,Treatment T4,0.06376,kg,day,individual,too_low_kg
EM1062,Diet A M+V+C,0.07759999999999999,kg,day,individual,too_low_kg
EM1062,Diet B M+C,0.07667714285714279,kg,day,individual,too_low_kg
EM1062,Diet C V+C,0.0829814285714286,kg,day,individual,too_low_kg
EM1065,Treatment T1,0.07065,kg,day,individual,too_low_kg
EM1065,Treatment T2,0.08068,kg,day,individual,too_low_kg
EM1065,Treatment T3,0.08952,kg,day,individual,too_low_kg
EM1066,Con,0.0230178571428571,kg,day,individual,too_low_kg
EM1066,PEG0,0.0242785714285714,kg,day,individual,too_low_kg
EM1066,PEG100,0.0266107142857143,kg,day,individual,too_low_kg
EM1066,PEG25,0.0238178571428571,kg,day,individual,too_low_kg
EM1066,PEG50,0.025378571428571403,kg,day,individual,too_low_kg
EM1066,PEG75,0.0254107142857143,kg,day,individual,too_low_kg
EM1068,RFM,0.07701000000000001,kg,day,individual,too_low_kg
EM1068,RIM,0.07698,kg,day,individual,too_low_kg
EM1068,RTS,0.07862999999999999,kg,day,individual,too_low_kg
EM1070,Treatment T1,0.06168,kg,day,individual,too_low_kg
EM1070,Treatment T2,0.06788,kg,day,individual,too_low_kg
EM1070,Treatment T3,0.063,kg,day,individual,too_low_kg
EM1070,Treatment T4,0.06502,kg,day,individual,too_low_kg
EM1077,Ration1,0,kg,day,individual,too_low_kg
EM1081,Treatment T1,0,kg,day,individual,too_low_kg
EM1081,Treatment T2,0.075,kg,day,individual,too_low_kg
EM1081,Treatment T3,0.099,kg,day,individual,too_low_kg
EM1092,MCFJM,0.04058,kg,day,individual,too_low_kg
EM1092,PWFJM,0.037700000000000004,kg,day,individual,too_low_kg
EM1092,RDFFJM,0.04088,kg,day,individual,too_low_kg
EM1092,RJFM,0.038689999999999995,kg,day,individual,too_low_kg
EM1092,Treatment C,0.04982,kg,day,individual,too_low_kg
EM1097,Treatment T1,0.09412999999999999,kg,day,individual,too_low_kg
EM1097,Treatment T2,0.0858,kg,day,individual,too_low_kg
EM1097,Treatment T3,0.05897,kg,day,individual,too_low_kg
